Conformation_ID,Num_IMHB,IMHB_Pairs
1,4,"[(81, 16), (81, 40), (85, 8), (106, 63)]"
2,4,"[(81, 16), (81, 40), (85, 8), (106, 63)]"
3,3,"[(81, 16), (85, 8), (106, 63)]"
4,3,"[(81, 40), (85, 8), (106, 63)]"
5,4,"[(81, 16), (81, 40), (85, 8), (106, 63)]"
6,3,"[(81, 40), (85, 8), (106, 63)]"
7,3,"[(81, 40), (85, 8), (106, 63)]"
8,3,"[(81, 40), (85, 8), (106, 63)]"
9,3,"[(81, 40), (85, 8), (106, 63)]"
10,3,"[(81, 40), (85, 8), (106, 63)]"
11,3,"[(81, 16), (85, 8), (106, 63)]"
12,4,"[(81, 16), (81, 40), (85, 8), (106, 63)]"
13,3,"[(81, 16), (85, 8), (106, 63)]"
14,3,"[(81, 16), (85, 8), (106, 63)]"
15,4,"[(81, 16), (81, 40), (85, 8), (106, 63)]"
16,2,"[(81, 40), (85, 8)]"
17,2,"[(81, 16), (85, 8)]"
18,3,"[(81, 40), (85, 8), (106, 63)]"
19,3,"[(81, 16), (85, 8), (106, 63)]"
20,3,"[(81, 40), (85, 8), (106, 63)]"
21,3,"[(81, 40), (85, 8), (106, 63)]"
22,3,"[(81, 16), (85, 8), (106, 63)]"
23,3,"[(81, 40), (85, 8), (106, 63)]"
24,2,"[(81, 40), (85, 8)]"
25,2,"[(81, 40), (85, 8)]"
26,3,"[(81, 40), (85, 8), (106, 63)]"
27,3,"[(81, 40), (85, 8), (106, 63)]"
28,3,"[(81, 40), (85, 8), (106, 63)]"
29,3,"[(81, 16), (85, 8), (106, 63)]"
30,3,"[(81, 16), (85, 8), (106, 63)]"
31,3,"[(81, 16), (85, 8), (106, 63)]"
32,2,"[(85, 8), (106, 63)]"
33,3,"[(81, 16), (85, 8), (106, 63)]"
34,3,"[(81, 16), (85, 8), (106, 63)]"
35,2,"[(81, 16), (85, 8)]"
36,2,"[(81, 16), (106, 63)]"
37,2,"[(81, 16), (85, 8)]"
38,3,"[(81, 16), (85, 8), (106, 63)]"
39,2,"[(81, 16), (85, 8)]"
40,2,"[(81, 16), (85, 8)]"
41,3,"[(81, 16), (85, 8), (106, 63)]"
42,1,"[(85, 8)]"
43,1,"[(85, 8)]"
44,2,"[(81, 16), (85, 8)]"
45,2,"[(81, 16), (85, 8)]"
46,2,"[(81, 16), (85, 8)]"
47,3,"[(81, 16), (85, 8), (106, 63)]"
48,3,"[(81, 16), (85, 8), (106, 63)]"
49,3,"[(81, 16), (85, 8), (106, 63)]"
50,3,"[(81, 16), (85, 8), (106, 63)]"
51,3,"[(81, 16), (85, 8), (106, 63)]"
52,3,"[(81, 16), (85, 8), (106, 63)]"
53,3,"[(81, 16), (85, 8), (106, 63)]"
54,2,"[(81, 16), (85, 8)]"
55,3,"[(81, 16), (85, 8), (106, 63)]"
56,3,"[(81, 16), (85, 8), (106, 63)]"
57,3,"[(81, 16), (85, 8), (106, 63)]"
58,3,"[(81, 16), (85, 8), (106, 63)]"
59,3,"[(81, 16), (85, 8), (106, 63)]"
60,2,"[(81, 16), (106, 63)]"
61,3,"[(81, 16), (85, 8), (106, 63)]"
62,3,"[(81, 16), (85, 8), (106, 63)]"
63,3,"[(81, 16), (85, 8), (106, 63)]"
64,3,"[(81, 16), (85, 8), (106, 63)]"
65,3,"[(81, 16), (85, 8), (106, 63)]"
66,3,"[(81, 16), (85, 8), (106, 63)]"
67,3,"[(81, 16), (85, 8), (106, 63)]"
68,3,"[(81, 16), (85, 8), (106, 63)]"
69,2,"[(81, 16), (85, 8)]"
70,3,"[(81, 16), (85, 8), (106, 63)]"
71,3,"[(81, 16), (85, 8), (106, 63)]"
72,3,"[(81, 16), (85, 8), (106, 63)]"
73,3,"[(81, 16), (85, 8), (106, 63)]"
74,3,"[(81, 16), (85, 8), (106, 63)]"
75,3,"[(81, 16), (85, 8), (106, 63)]"
76,2,"[(85, 8), (106, 63)]"
77,2,"[(81, 16), (106, 63)]"
78,2,"[(81, 16), (106, 63)]"
79,2,"[(81, 16), (85, 8)]"
80,2,"[(81, 16), (85, 8)]"
81,2,"[(81, 16), (106, 63)]"
82,2,"[(81, 16), (85, 8)]"
83,2,"[(81, 16), (85, 8)]"
84,2,"[(81, 16), (85, 8)]"
85,2,"[(81, 16), (106, 63)]"
86,3,"[(81, 16), (85, 8), (106, 63)]"
87,2,"[(85, 8), (106, 63)]"
88,3,"[(81, 16), (85, 8), (106, 63)]"
89,3,"[(81, 16), (85, 8), (106, 63)]"
90,3,"[(81, 16), (85, 8), (106, 63)]"
91,3,"[(81, 16), (85, 8), (106, 63)]"
92,3,"[(81, 16), (85, 8), (106, 63)]"
93,3,"[(81, 16), (85, 8), (106, 63)]"
94,3,"[(81, 16), (85, 8), (106, 63)]"
95,3,"[(81, 16), (85, 8), (106, 63)]"
96,3,"[(81, 16), (85, 8), (106, 63)]"
97,3,"[(81, 16), (85, 8), (106, 63)]"
98,3,"[(81, 16), (85, 8), (106, 63)]"
99,2,"[(81, 16), (85, 8)]"
100,3,"[(81, 16), (85, 8), (106, 63)]"
101,3,"[(81, 16), (85, 8), (106, 63)]"
102,3,"[(81, 16), (85, 8), (106, 63)]"
103,3,"[(81, 16), (85, 8), (106, 63)]"
104,3,"[(81, 16), (85, 8), (106, 63)]"
105,3,"[(81, 16), (85, 8), (106, 63)]"
106,2,"[(81, 16), (85, 8)]"
107,3,"[(81, 16), (85, 8), (106, 63)]"
108,3,"[(81, 16), (85, 8), (106, 63)]"
109,3,"[(81, 16), (85, 8), (106, 63)]"
110,3,"[(81, 16), (85, 8), (106, 63)]"
111,3,"[(81, 16), (85, 8), (106, 63)]"
112,3,"[(81, 16), (85, 8), (106, 63)]"
113,3,"[(81, 16), (85, 8), (106, 63)]"
114,3,"[(81, 16), (85, 8), (106, 63)]"
115,2,"[(81, 16), (85, 8)]"
116,2,"[(81, 16), (85, 8)]"
117,2,"[(81, 16), (85, 8)]"
118,3,"[(81, 16), (85, 8), (106, 63)]"
119,3,"[(81, 16), (85, 8), (106, 63)]"
120,3,"[(81, 16), (85, 8), (106, 63)]"
121,3,"[(81, 16), (85, 8), (106, 63)]"
122,3,"[(81, 40), (85, 8), (106, 63)]"
123,3,"[(81, 40), (85, 8), (106, 63)]"
124,3,"[(81, 40), (85, 8), (106, 63)]"
125,3,"[(81, 16), (85, 8), (106, 63)]"
126,3,"[(81, 40), (85, 8), (106, 63)]"
127,3,"[(81, 40), (85, 8), (106, 63)]"
128,3,"[(81, 40), (85, 8), (106, 63)]"
129,3,"[(81, 40), (85, 8), (106, 63)]"
130,3,"[(81, 40), (85, 8), (106, 63)]"
131,3,"[(81, 40), (85, 8), (106, 63)]"
132,3,"[(81, 40), (85, 8), (106, 63)]"
133,2,"[(81, 40), (106, 63)]"
134,3,"[(81, 40), (85, 8), (106, 63)]"
135,3,"[(81, 40), (85, 8), (106, 63)]"
136,3,"[(81, 40), (85, 8), (106, 63)]"
137,3,"[(81, 40), (85, 8), (106, 63)]"
138,3,"[(81, 40), (85, 8), (106, 63)]"
139,3,"[(81, 40), (85, 8), (106, 63)]"
140,3,"[(81, 40), (85, 8), (106, 63)]"
141,3,"[(81, 40), (85, 8), (106, 63)]"
142,3,"[(81, 40), (85, 8), (106, 63)]"
143,3,"[(81, 40), (85, 8), (106, 63)]"
144,3,"[(81, 40), (85, 8), (106, 63)]"
145,3,"[(81, 40), (85, 8), (106, 63)]"
146,3,"[(81, 40), (85, 8), (106, 63)]"
147,3,"[(81, 40), (85, 8), (106, 63)]"
148,3,"[(81, 40), (85, 8), (106, 63)]"
149,3,"[(81, 40), (85, 8), (106, 63)]"
150,3,"[(81, 40), (85, 8), (106, 63)]"
151,3,"[(81, 40), (85, 8), (106, 63)]"
152,3,"[(81, 40), (85, 8), (106, 63)]"
