Conformation_ID,Num_IMHB,IMHB_Pairs
2371,2,"[(84, 16), (92, 8)]"
2372,2,"[(84, 16), (92, 8)]"
2373,2,"[(84, 16), (92, 8)]"
2374,2,"[(84, 16), (92, 8)]"
2375,2,"[(84, 16), (92, 8)]"
2376,1,"[(84, 16)]"
2377,1,"[(84, 16)]"
2378,1,"[(84, 16)]"
2379,1,"[(84, 16)]"
2380,1,"[(84, 16)]"
2381,1,"[(84, 16)]"
2382,1,"[(84, 16)]"
2383,1,"[(84, 16)]"
2384,1,"[(84, 16)]"
2385,1,"[(84, 16)]"
2386,2,"[(84, 16), (92, 8)]"
2387,1,"[(84, 16)]"
2388,1,"[(84, 16)]"
2389,1,"[(84, 16)]"
2390,1,"[(84, 16)]"
2391,1,"[(84, 16)]"
2392,2,"[(84, 16), (109, 59)]"
2393,1,"[(84, 16)]"
2394,1,"[(84, 16)]"
2395,1,"[(84, 16)]"
2396,1,"[(84, 16)]"
2397,2,"[(84, 16), (92, 8)]"
2398,1,"[(84, 16)]"
2399,1,"[(84, 16)]"
2400,1,"[(84, 16)]"
2401,1,"[(84, 16)]"
2402,2,"[(84, 16), (109, 59)]"
2403,1,"[(84, 16)]"
2404,3,"[(84, 16), (88, 25), (92, 8)]"
2405,3,"[(84, 16), (88, 25), (92, 8)]"
2406,2,"[(84, 16), (92, 8)]"
2407,3,"[(84, 16), (88, 25), (92, 8)]"
2408,3,"[(84, 16), (88, 25), (92, 8)]"
2409,2,"[(84, 16), (92, 8)]"
2410,2,"[(84, 16), (92, 8)]"
2411,2,"[(84, 16), (92, 8)]"
2412,2,"[(84, 16), (92, 8)]"
2413,2,"[(84, 16), (92, 8)]"
2414,2,"[(84, 16), (92, 8)]"
2415,2,"[(84, 16), (92, 8)]"
2416,2,"[(84, 16), (92, 8)]"
2417,2,"[(84, 16), (92, 8)]"
2418,2,"[(84, 16), (92, 8)]"
2419,2,"[(84, 16), (92, 8)]"
2420,2,"[(84, 16), (92, 8)]"
2421,2,"[(84, 16), (92, 8)]"
2422,2,"[(84, 16), (92, 8)]"
2423,2,"[(84, 16), (92, 8)]"
2424,2,"[(84, 16), (92, 8)]"
2425,2,"[(84, 16), (92, 8)]"
2426,2,"[(84, 16), (92, 8)]"
2427,2,"[(84, 16), (92, 8)]"
2428,2,"[(84, 16), (92, 8)]"
2429,2,"[(84, 16), (92, 8)]"
2430,2,"[(84, 16), (92, 8)]"
2431,2,"[(84, 16), (92, 8)]"
2432,2,"[(84, 16), (92, 8)]"
2433,2,"[(84, 16), (92, 8)]"
2434,2,"[(84, 16), (92, 8)]"
2435,2,"[(84, 16), (92, 8)]"
2436,2,"[(84, 16), (92, 8)]"
2437,2,"[(84, 16), (92, 8)]"
2438,2,"[(84, 16), (92, 8)]"
2439,2,"[(84, 16), (92, 8)]"
2440,2,"[(84, 16), (92, 8)]"
2441,2,"[(84, 16), (92, 8)]"
2442,2,"[(84, 16), (92, 8)]"
2443,2,"[(84, 16), (92, 8)]"
2444,2,"[(84, 16), (92, 8)]"
2445,2,"[(84, 16), (92, 8)]"
2446,2,"[(84, 16), (92, 8)]"
2447,2,"[(84, 16), (92, 8)]"
2448,2,"[(84, 16), (92, 8)]"
2449,2,"[(84, 16), (92, 8)]"
2450,2,"[(84, 16), (92, 8)]"
2451,2,"[(84, 16), (92, 8)]"
2452,2,"[(84, 16), (92, 8)]"
2453,2,"[(84, 16), (92, 8)]"
2454,2,"[(84, 16), (92, 8)]"
2455,2,"[(84, 16), (92, 8)]"
2456,2,"[(84, 16), (92, 8)]"
2457,2,"[(84, 16), (92, 8)]"
2458,2,"[(84, 16), (92, 8)]"
2459,2,"[(84, 16), (92, 8)]"
2460,2,"[(84, 16), (92, 8)]"
2461,2,"[(84, 16), (92, 8)]"
2462,2,"[(84, 16), (92, 8)]"
2463,2,"[(84, 16), (92, 8)]"
2464,2,"[(84, 16), (92, 8)]"
2465,2,"[(84, 16), (92, 8)]"
2466,2,"[(84, 16), (92, 8)]"
2467,2,"[(84, 16), (92, 8)]"
2468,2,"[(84, 16), (92, 8)]"
2469,2,"[(84, 16), (92, 8)]"
2470,2,"[(84, 16), (92, 8)]"
2471,2,"[(84, 16), (92, 8)]"
2472,2,"[(84, 16), (92, 8)]"
2473,2,"[(84, 16), (92, 8)]"
2474,2,"[(84, 16), (92, 8)]"
2475,2,"[(84, 16), (92, 8)]"
2476,2,"[(84, 16), (92, 8)]"
2477,2,"[(84, 16), (92, 8)]"
2478,3,"[(84, 16), (88, 25), (92, 8)]"
2479,2,"[(84, 16), (92, 8)]"
2480,2,"[(84, 16), (92, 8)]"
2481,2,"[(84, 16), (92, 8)]"
2482,2,"[(84, 16), (92, 8)]"
2483,2,"[(84, 16), (92, 8)]"
2484,2,"[(84, 16), (92, 8)]"
2485,1,"[(84, 16)]"
2486,1,"[(84, 16)]"
2487,2,"[(84, 16), (92, 8)]"
2488,2,"[(84, 16), (92, 8)]"
2489,2,"[(84, 16), (92, 8)]"
2490,1,"[(84, 16)]"
2491,2,"[(84, 16), (92, 8)]"
2492,3,"[(84, 16), (92, 8), (109, 59)]"
2493,2,"[(84, 16), (92, 8)]"
2494,2,"[(84, 16), (92, 8)]"
2495,2,"[(84, 16), (92, 8)]"
2496,2,"[(84, 16), (92, 8)]"
2497,2,"[(84, 16), (92, 8)]"
2498,1,"[(84, 16)]"
2499,1,"[(84, 16)]"
2500,2,"[(84, 16), (92, 8)]"
2501,2,"[(84, 16), (109, 59)]"
2502,2,"[(84, 16), (109, 59)]"
2503,2,"[(84, 16), (109, 59)]"
2504,2,"[(84, 16), (109, 59)]"
2505,2,"[(84, 16), (109, 59)]"
2506,2,"[(84, 16), (109, 59)]"
2507,1,"[(84, 16)]"
2508,1,"[(84, 16)]"
2509,1,"[(84, 16)]"
2510,1,"[(84, 16)]"
2511,2,"[(84, 16), (109, 59)]"
2512,1,"[(84, 16)]"
2513,1,"[(84, 16)]"
2514,1,"[(84, 16)]"
2515,1,"[(84, 16)]"
2516,1,"[(84, 16)]"
2517,1,"[(84, 16)]"
2518,1,"[(84, 16)]"
2519,1,"[(84, 16)]"
2520,2,"[(84, 16), (109, 28)]"
2521,2,"[(84, 16), (109, 28)]"
2522,2,"[(84, 16), (109, 59)]"
2523,2,"[(84, 16), (109, 28)]"
2524,2,"[(84, 16), (109, 28)]"
2525,2,"[(84, 16), (109, 28)]"
2526,2,"[(84, 16), (109, 39)]"
2527,2,"[(84, 16), (109, 39)]"
2528,1,"[(84, 16)]"
2529,2,"[(84, 16), (109, 59)]"
2530,1,"[(84, 16)]"
2531,1,"[(84, 16)]"
2532,1,"[(84, 16)]"
2533,1,"[(84, 16)]"
2534,1,"[(84, 16)]"
2535,1,"[(84, 16)]"
2536,1,"[(84, 16)]"
2537,1,"[(84, 16)]"
2538,1,"[(84, 16)]"
2539,2,"[(84, 16), (109, 59)]"
2540,2,"[(84, 16), (109, 59)]"
2541,2,"[(84, 16), (109, 59)]"
2542,1,"[(84, 16)]"
2543,1,"[(84, 16)]"
2544,1,"[(84, 16)]"
2545,1,"[(84, 16)]"
2546,1,"[(84, 16)]"
2547,1,"[(84, 16)]"
2548,1,"[(84, 16)]"
2549,1,"[(84, 16)]"
2550,1,"[(84, 16)]"
2551,1,"[(84, 16)]"
2552,1,"[(84, 16)]"
2553,1,"[(84, 16)]"
2554,1,"[(84, 16)]"
2555,2,"[(84, 16), (109, 59)]"
2556,1,"[(84, 16)]"
2557,1,"[(84, 16)]"
2558,1,"[(84, 16)]"
2559,1,"[(84, 16)]"
2560,1,"[(84, 16)]"
2561,1,"[(84, 16)]"
2562,2,"[(84, 16), (109, 59)]"
2563,1,"[(84, 16)]"
2564,2,"[(84, 16), (109, 59)]"
2565,2,"[(84, 16), (109, 59)]"
2566,2,"[(84, 16), (109, 59)]"
2567,1,"[(84, 16)]"
2568,1,"[(84, 16)]"
2569,1,"[(84, 16)]"
2570,1,"[(84, 16)]"
2571,1,"[(84, 16)]"
2572,1,"[(84, 16)]"
2573,1,"[(84, 16)]"
2574,2,"[(84, 16), (109, 59)]"
2575,1,"[(84, 16)]"
2576,1,"[(84, 16)]"
2577,1,"[(84, 16)]"
2578,2,"[(84, 16), (109, 59)]"
2579,2,"[(84, 16), (109, 59)]"
2580,1,"[(84, 16)]"
2581,2,"[(84, 16), (109, 59)]"
2582,1,"[(84, 16)]"
2583,1,"[(84, 16)]"
2584,1,"[(84, 16)]"
2585,1,"[(84, 16)]"
2586,1,"[(84, 16)]"
2587,1,"[(84, 16)]"
2588,1,"[(84, 16)]"
2589,1,"[(84, 16)]"
2590,1,"[(84, 16)]"
2591,1,"[(84, 16)]"
2592,2,"[(84, 16), (109, 59)]"
2593,1,"[(84, 16)]"
2594,1,"[(84, 16)]"
2595,1,"[(84, 16)]"
2596,1,"[(84, 16)]"
2597,1,"[(84, 16)]"
2598,1,"[(84, 16)]"
2599,1,"[(84, 16)]"
2600,1,"[(84, 16)]"
2601,1,"[(84, 16)]"
2602,1,"[(84, 16)]"
2603,2,"[(84, 16), (109, 59)]"
2604,2,"[(84, 16), (109, 59)]"
2605,1,"[(84, 16)]"
2606,1,"[(84, 16)]"
2607,1,"[(84, 16)]"
2608,1,"[(84, 16)]"
2609,1,"[(84, 16)]"
2610,1,"[(84, 16)]"
2611,2,"[(84, 16), (109, 59)]"
2612,2,"[(84, 16), (109, 59)]"
2613,1,"[(84, 16)]"
2614,2,"[(84, 16), (109, 59)]"
2615,1,"[(84, 16)]"
2616,1,"[(84, 16)]"
2617,1,"[(84, 16)]"
2618,1,"[(84, 16)]"
2619,1,"[(84, 16)]"
2620,1,"[(84, 16)]"
2621,1,"[(84, 16)]"
2622,1,"[(84, 16)]"
2623,2,"[(84, 16), (109, 59)]"
2624,2,"[(84, 16), (109, 59)]"
2625,2,"[(84, 16), (109, 59)]"
2626,1,"[(84, 16)]"
2627,1,"[(84, 16)]"
2628,1,"[(84, 16)]"
2629,1,"[(84, 16)]"
2630,1,"[(84, 16)]"
2631,1,"[(84, 16)]"
2632,1,"[(84, 16)]"
2633,1,"[(84, 16)]"
2634,1,"[(84, 16)]"
2635,1,"[(84, 16)]"
2636,1,"[(84, 16)]"
2637,1,"[(84, 16)]"
2638,1,"[(84, 16)]"
2639,1,"[(84, 16)]"
2640,1,"[(84, 16)]"
2641,1,"[(84, 16)]"
2642,1,"[(84, 16)]"
2643,1,"[(84, 16)]"
2644,1,"[(84, 16)]"
2645,1,"[(84, 16)]"
2646,1,"[(84, 16)]"
2647,1,"[(84, 16)]"
2648,1,"[(84, 16)]"
2649,1,"[(84, 16)]"
2650,1,"[(84, 16)]"
2651,1,"[(84, 16)]"
2652,1,"[(84, 16)]"
2653,1,"[(84, 16)]"
2654,1,"[(84, 16)]"
2655,1,"[(84, 16)]"
2656,1,"[(84, 16)]"
2657,1,"[(84, 16)]"
2658,1,"[(84, 16)]"
2659,1,"[(84, 16)]"
2660,1,"[(84, 16)]"
2661,1,"[(84, 16)]"
2662,1,"[(84, 16)]"
2663,1,"[(84, 16)]"
2664,1,"[(84, 16)]"
2665,1,"[(84, 16)]"
2666,1,"[(84, 16)]"
2667,1,"[(84, 16)]"
2668,1,"[(84, 16)]"
2669,1,"[(84, 16)]"
2670,1,"[(84, 16)]"
2671,1,"[(84, 16)]"
2672,1,"[(84, 16)]"
2673,1,"[(84, 16)]"
2674,1,"[(84, 16)]"
2675,1,"[(84, 16)]"
2676,1,"[(84, 16)]"
2677,1,"[(84, 16)]"
2678,1,"[(84, 16)]"
2679,1,"[(84, 16)]"
2680,1,"[(84, 16)]"
2681,1,"[(84, 16)]"
2682,2,"[(84, 16), (109, 59)]"
2683,2,"[(84, 16), (109, 59)]"
2684,1,"[(84, 16)]"
2685,1,"[(84, 16)]"
2686,1,"[(84, 16)]"
2687,1,"[(84, 16)]"
2688,1,"[(84, 16)]"
2689,1,"[(84, 16)]"
2690,1,"[(84, 16)]"
2691,1,"[(84, 16)]"
2692,1,"[(84, 16)]"
2693,1,"[(84, 16)]"
2694,1,"[(84, 16)]"
2695,1,"[(84, 16)]"
2696,1,"[(84, 16)]"
2697,1,"[(84, 16)]"
2698,1,"[(84, 16)]"
2699,1,"[(84, 16)]"
2700,1,"[(84, 16)]"
2701,1,"[(84, 16)]"
2702,1,"[(84, 16)]"
2703,2,"[(84, 16), (109, 59)]"
2704,1,"[(84, 16)]"
2705,1,"[(84, 16)]"
2706,1,"[(84, 16)]"
2707,1,"[(84, 16)]"
2708,1,"[(84, 16)]"
2709,2,"[(84, 16), (109, 59)]"
2710,2,"[(84, 16), (109, 59)]"
2711,1,"[(84, 16)]"
2712,1,"[(84, 16)]"
2713,2,"[(84, 16), (109, 59)]"
2714,2,"[(84, 16), (109, 59)]"
2715,1,"[(84, 16)]"
2716,1,"[(84, 16)]"
2717,1,"[(84, 16)]"
2718,1,"[(84, 16)]"
2719,1,"[(84, 16)]"
2720,1,"[(84, 16)]"
2721,1,"[(84, 16)]"
2722,1,"[(84, 16)]"
2723,1,"[(84, 16)]"
2724,1,"[(84, 16)]"
2725,1,"[(84, 16)]"
2726,1,"[(84, 16)]"
2727,1,"[(84, 16)]"
2728,1,"[(84, 16)]"
2729,1,"[(84, 16)]"
2730,1,"[(84, 16)]"
2731,1,"[(84, 16)]"
2732,1,"[(84, 16)]"
2733,1,"[(84, 16)]"
2734,1,"[(84, 16)]"
2735,1,"[(84, 16)]"
2736,1,"[(84, 16)]"
2737,1,"[(84, 16)]"
2738,1,"[(84, 16)]"
2739,1,"[(84, 16)]"
2740,1,"[(84, 16)]"
2741,1,"[(84, 16)]"
2742,1,"[(84, 16)]"
2743,1,"[(84, 16)]"
2744,1,"[(84, 16)]"
2745,1,"[(84, 16)]"
2746,1,"[(84, 16)]"
2747,1,"[(84, 16)]"
2748,1,"[(84, 16)]"
2749,1,"[(84, 16)]"
2750,1,"[(84, 16)]"
2751,4,"[(84, 16), (92, 31), (92, 28), (109, 59)]"
2752,2,"[(84, 16), (109, 59)]"
2753,2,"[(84, 16), (109, 59)]"
2754,2,"[(84, 16), (109, 59)]"
2755,2,"[(92, 28), (109, 59)]"
2756,2,"[(84, 16), (109, 59)]"
2757,3,"[(84, 16), (92, 28), (109, 59)]"
2758,3,"[(84, 16), (92, 28), (109, 59)]"
2759,3,"[(84, 16), (92, 28), (109, 59)]"
2760,2,"[(84, 16), (92, 28)]"
2761,1,"[(84, 16)]"
2762,2,"[(84, 16), (92, 28)]"
2763,3,"[(84, 16), (88, 36), (92, 28)]"
2764,3,"[(84, 16), (88, 36), (92, 28)]"
2765,2,"[(88, 36), (92, 28)]"
2766,3,"[(84, 16), (88, 36), (92, 28)]"
2767,3,"[(84, 16), (88, 36), (92, 28)]"
2768,3,"[(84, 16), (88, 36), (92, 28)]"
2769,3,"[(84, 16), (88, 36), (92, 28)]"
2770,3,"[(84, 16), (88, 36), (92, 28)]"
2771,4,"[(84, 16), (88, 36), (92, 31), (109, 59)]"
2772,1,"[(84, 16)]"
2773,4,"[(84, 16), (88, 36), (92, 31), (109, 59)]"
2774,4,"[(84, 16), (88, 36), (92, 31), (109, 59)]"
2775,4,"[(84, 16), (88, 36), (92, 31), (109, 59)]"
2776,4,"[(84, 16), (88, 36), (92, 31), (109, 59)]"
2777,3,"[(84, 16), (88, 36), (109, 59)]"
2778,4,"[(84, 16), (88, 36), (92, 31), (109, 59)]"
2779,1,"[(84, 16)]"
2780,1,"[(84, 16)]"
2781,1,"[(84, 16)]"
2782,1,"[(84, 16)]"
2783,2,"[(84, 16), (109, 59)]"
2784,1,"[(84, 16)]"
2785,1,"[(84, 16)]"
2786,1,"[(84, 16)]"
2787,1,"[(84, 16)]"
2788,2,"[(84, 16), (109, 59)]"
2789,1,"[(84, 16)]"
2790,2,"[(84, 16), (92, 28)]"
2791,1,"[(84, 16)]"
2792,1,"[(84, 16)]"
2793,1,"[(84, 16)]"
2794,1,"[(84, 16)]"
2795,1,"[(84, 16)]"
2796,1,"[(84, 16)]"
2797,1,"[(84, 16)]"
2798,1,"[(84, 16)]"
2799,2,"[(84, 16), (109, 59)]"
2800,1,"[(84, 16)]"
2801,1,"[(84, 16)]"
2802,1,"[(84, 16)]"
2803,1,"[(84, 16)]"
2804,1,"[(84, 16)]"
2805,1,"[(84, 16)]"
2806,1,"[(84, 16)]"
2807,1,"[(84, 16)]"
2808,1,"[(84, 16)]"
2809,1,"[(84, 16)]"
2810,1,"[(84, 16)]"
2811,1,"[(84, 16)]"
2812,1,"[(84, 16)]"
2813,1,"[(84, 16)]"
2814,1,"[(84, 16)]"
2815,1,"[(84, 16)]"
2816,1,"[(84, 16)]"
2817,2,"[(84, 16), (109, 59)]"
2818,1,"[(84, 16)]"
2819,2,"[(84, 16), (92, 28)]"
2820,1,"[(84, 16)]"
2821,1,"[(84, 16)]"
2822,2,"[(84, 16), (92, 28)]"
2823,2,"[(84, 16), (92, 28)]"
2824,3,"[(84, 16), (92, 28), (109, 59)]"
2825,2,"[(84, 16), (92, 28)]"
2826,3,"[(84, 16), (92, 28), (109, 59)]"
2827,2,"[(84, 16), (92, 28)]"
2828,2,"[(84, 16), (92, 28)]"
2829,3,"[(84, 16), (92, 28), (109, 59)]"
2830,2,"[(84, 16), (92, 28)]"
2831,1,"[(84, 16)]"
2832,2,"[(84, 16), (92, 28)]"
2833,2,"[(84, 16), (92, 28)]"
2834,2,"[(84, 16), (92, 28)]"
2835,3,"[(84, 16), (92, 31), (92, 28)]"
2836,3,"[(84, 16), (92, 31), (92, 28)]"
2837,3,"[(84, 16), (92, 31), (92, 28)]"
2838,3,"[(84, 16), (92, 31), (92, 28)]"
2839,2,"[(84, 16), (92, 28)]"
2840,3,"[(84, 16), (92, 31), (92, 28)]"
