Conformation_ID,Num_IMHB,IMHB_Pairs
1,3,"[(63, 44), (68, 4), (84, 38)]"
2,2,"[(63, 44), (68, 4)]"
3,3,"[(63, 44), (68, 4), (84, 38)]"
4,3,"[(63, 44), (68, 4), (84, 38)]"
5,3,"[(63, 44), (68, 4), (84, 38)]"
6,2,"[(63, 44), (68, 4)]"
7,4,"[(63, 44), (68, 4), (84, 38), (103, 38)]"
8,3,"[(63, 44), (68, 4), (84, 38)]"
9,3,"[(63, 44), (68, 4), (84, 38)]"
10,3,"[(63, 44), (68, 4), (84, 38)]"
11,2,"[(68, 4), (84, 38)]"
12,3,"[(63, 44), (68, 4), (84, 38)]"
13,2,"[(63, 44), (68, 4)]"
14,3,"[(63, 44), (68, 4), (84, 38)]"
15,2,"[(63, 44), (68, 4)]"
16,3,"[(63, 44), (68, 4), (84, 38)]"
17,3,"[(63, 44), (68, 4), (84, 38)]"
18,4,"[(63, 44), (68, 4), (84, 38), (103, 38)]"
19,3,"[(63, 44), (68, 4), (84, 38)]"
20,3,"[(63, 44), (68, 4), (84, 38)]"
21,3,"[(63, 44), (68, 4), (84, 38)]"
22,1,"[(68, 4)]"
23,3,"[(63, 44), (68, 4), (84, 38)]"
24,3,"[(63, 44), (68, 4), (84, 38)]"
25,3,"[(63, 44), (68, 4), (84, 38)]"
26,3,"[(63, 44), (68, 4), (84, 38)]"
27,3,"[(63, 44), (68, 4), (84, 38)]"
28,3,"[(63, 44), (68, 4), (84, 38)]"
29,2,"[(68, 4), (84, 38)]"
30,1,"[(68, 4)]"
31,2,"[(68, 4), (84, 38)]"
32,2,"[(68, 4), (84, 38)]"
33,2,"[(68, 4), (84, 38)]"
34,2,"[(68, 4), (84, 38)]"
35,2,"[(68, 4), (84, 38)]"
36,2,"[(68, 4), (84, 38)]"
37,1,"[(68, 4)]"
38,2,"[(68, 4), (84, 38)]"
39,1,"[(68, 4)]"
40,1,"[(68, 4)]"
41,2,"[(68, 4), (84, 38)]"
42,2,"[(68, 4), (84, 38)]"
43,2,"[(68, 4), (84, 38)]"
44,1,"[(68, 4)]"
45,2,"[(68, 4), (84, 38)]"
46,2,"[(68, 4), (84, 38)]"
47,3,"[(68, 4), (84, 38), (103, 38)]"
48,1,"[(68, 4)]"
49,3,"[(68, 4), (84, 38), (103, 38)]"
50,2,"[(68, 4), (84, 38)]"
51,3,"[(68, 4), (84, 38), (103, 38)]"
52,1,"[(68, 4)]"
53,2,"[(68, 4), (84, 38)]"
54,2,"[(68, 4), (84, 38)]"
55,2,"[(68, 4), (84, 38)]"
56,2,"[(68, 4), (84, 38)]"
57,2,"[(68, 4), (84, 38)]"
58,2,"[(68, 4), (84, 38)]"
59,1,"[(68, 4)]"
60,2,"[(68, 4), (84, 38)]"
61,2,"[(68, 4), (84, 38)]"
62,2,"[(68, 4), (84, 38)]"
63,2,"[(68, 4), (84, 38)]"
64,3,"[(68, 4), (84, 38), (103, 38)]"
65,2,"[(68, 4), (84, 38)]"
66,3,"[(68, 4), (84, 38), (103, 38)]"
67,3,"[(68, 4), (84, 38), (103, 38)]"
68,1,"[(68, 4)]"
69,1,"[(68, 4)]"
70,1,"[(68, 4)]"
71,2,"[(68, 4), (84, 38)]"
72,1,"[(68, 4)]"
73,1,"[(68, 4)]"
74,1,"[(68, 4)]"
75,1,"[(68, 4)]"
76,1,"[(68, 4)]"
77,2,"[(68, 4), (84, 38)]"
78,1,"[(68, 4)]"
79,2,"[(68, 4), (84, 38)]"
80,2,"[(68, 4), (84, 38)]"
81,1,"[(68, 4)]"
82,2,"[(68, 4), (84, 38)]"
83,2,"[(68, 4), (84, 38)]"
84,2,"[(68, 4), (84, 38)]"
85,2,"[(68, 4), (84, 38)]"
