Molecule_Name,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex
,0.18241008070511103,0.8926487546020999,6.713110350364747e-05,0.4507529266763779,0.8251611072625327,12291.785241064877,22501.69110278988,27269.451873997205,5.595793464248183,0.46712900070569585
,0.19185955474014385,0.8976757875821658,7.212626589738907e-05,0.4406565333553311,0.8548267675644009,11851.809558261702,22991.248937884724,26895.799020650826,5.581164713718702,0.4868227763688201
,0.16473033667989823,0.8809219846806451,7.035000411283091e-05,0.47326151006215716,0.8732650149526837,12413.148029843705,22904.816194470666,26228.940587653935,5.572481740670131,0.511817742903722
,0.20192382960873986,0.9030274501996457,7.266476989920966e-05,0.42958284903604604,0.850272400776679,11701.301771904833,23160.361201885626,27238.75452235055,5.597483286128434,0.47859959937375524
,0.1465410795275866,0.868744007081427,6.840870578318968e-05,0.495261395790249,0.8485031610467004,12403.438295352258,21250.104875751953,25044.22593963958,5.44197250612418,0.5396295483313415
,0.11730841833463074,0.8426452673684729,6.751600030578928e-05,0.5384690830321782,0.8732581181630485,12934.091388825493,20975.763813128113,24020.11888220622,5.406263541408856,0.5862020023818189
,0.16207454658327794,0.879220980765901,7.07525170607933e-05,0.47641417588170787,0.871415276452273,12316.385517472392,22528.058638762814,25852.26498493301,5.53385936600623,0.5218233377082528
,0.1730264787411918,0.8867184426729545,7.11338549282423e-05,0.4623098565071378,0.8573103338655841,12052.07189643262,22349.43866299149,26069.251448560764,5.523549701096306,0.5011734413309245
,0.19324043335228244,0.8986729463719497,6.8727315636812e-05,0.43861935144172387,0.8336777219664127,12130.223830826806,23055.74830883854,27655.46889565008,5.63078069816252,0.46563305400686206
,0.2357521797698783,0.9182538266991774,7.590942726824487e-05,0.3959923102186669,0.861693274862096,11351.597632492843,24701.477999555544,28666.207245854075,5.7142915353680355,0.45333993673793865
,0.08395353377473846,0.8014289072768986,6.946982048793647e-05,0.5980900488897606,0.896100253964779,12899.130121120552,19326.37702118228,21567.204044048736,5.209634588197926,0.6285882075351078
,0.09543855022456589,0.818089688736598,6.750806516596135e-05,0.5750906547518018,0.8777804064660456,13002.600567919055,19846.311042125075,22609.653731081286,5.289685611269436,0.6329574191773352
,0.12500301710863254,0.8482441968098938,7.492028831986834e-05,0.5296053082988672,0.9019998803547775,12039.460880125489,20505.066892722538,22732.89314035986,5.281039689861694,0.6082140165187725
,0.08846280518794847,0.809742869069164,6.289584411567383e-05,0.5867848719860106,0.8391102221321739,13341.266564273128,19078.189784242873,22736.214243422408,5.275220652917432,0.5716817342493671
,0.09538445223774002,0.8161787489730719,6.897875339849562e-05,0.577799489204301,0.9034431560109679,13097.412050805075,20479.019971185084,22667.745983717945,5.327020063975623,0.6672838918601541
,0.10717086874783503,0.8295043207510765,7.190178723294068e-05,0.5585002970950823,0.9098003516905556,12653.376038387889,20612.42586561825,22655.988016840223,5.311731051878411,0.6762966174460381
,0.10671307292569486,0.8319691328536626,6.851542753028786e-05,0.5548219191585032,0.8628660861629507,12593.748842645886,19585.95794206286,22698.72261309861,5.26194594404625,0.5742888502472191
,0.12026599376448441,0.8430032209732773,7.577589221581493e-05,0.5379085139953447,0.9109268020928899,12021.327304184131,20357.64252321755,22348.274830035818,5.254692870340495,0.6260989114757728
,0.12866947143626267,0.8503730443775191,7.689324090250413e-05,0.5261802784180625,0.9166280552882927,11920.788414296652,20766.512067976542,22655.331078040344,5.2841537869348185,0.6295429940041413
,0.10403428820903719,0.8289438782448622,6.215021151466897e-05,0.5593317859020415,0.8206584305931237,13204.435038799962,19373.708430202194,23607.517705265047,5.3242482085816585,0.5352475056236566
,0.13657416609075315,0.8599145685626085,6.734630976688024e-05,0.510437983278853,0.8773655936355728,13027.671399852205,22392.59425405311,25522.535208229532,5.5450663936258815,0.560308550935665
,0.09840055111312958,0.8207331918152347,5.8391980072958706e-05,0.5713116731284046,0.7967791993535444,13645.35332348718,19030.477071209323,23884.254366390884,5.341959256724424,0.5392128255886336
,0.14914636322924194,0.8693689888136148,7.037262175885784e-05,0.4941634965162774,0.8863375266767952,12594.919793012137,22590.397989187124,25487.353642676982,5.5327634703963975,0.5330102374357436
,0.13136052756381306,0.854813973399986,6.917625285320829e-05,0.5189345535615527,0.8896428679027324,12860.524113535765,22047.62330157903,24782.55499710202,5.487807770028575,0.5519009510396111
,0.16561509105663946,0.8806878439098083,7.229653704873899e-05,0.47369707787730025,0.8911114540867933,12325.783370316161,23187.068814315753,26020.391397704287,5.571863259710346,0.5147576376886759
,0.09394053822310308,0.811346789907402,7.075540388852116e-05,0.5845651259756725,0.9305807729387018,13152.080573306886,20937.056902312288,22498.91413100519,5.343279792988593,0.6423293859505684
,0.08010345343055515,0.7871592455436257,7.151306264648767e-05,0.6167498051521297,0.9590649880479132,13411.046213876805,20854.59090440923,21744.710905208616,5.315935233654952,0.6405816630015632
,0.1210040596762737,0.8427349555624946,7.131417729172378e-05,0.5383287050428208,0.9213722740352508,12919.903293088664,22112.95917523427,24000.0266975564,5.457485178492667,0.5858396948112258
,0.12100062055898522,0.8438345353108819,7.172149728364541e-05,0.5366034634780771,0.9095761072012879,12682.056867888306,21496.87190319538,23633.945233390077,5.400796646676541,0.5959543277511534
,0.11774289099153645,0.841970619845963,6.830029051280467e-05,0.5395233779144374,0.8926059226628271,13068.845182956942,21621.544292972085,24222.945136270853,5.451956075172454,0.5642492744515364
,0.14579207764876584,0.8680447382094242,6.795105826525769e-05,0.4964859841596058,0.8549284667197851,12581.532775875789,21664.882530916257,25341.164055562123,5.483065288480267,0.5300864981584729
,0.11246747722699012,0.8380858185641211,6.0877971434412675e-05,0.545538413607793,0.8152867158820697,13392.146562577642,20014.061186651707,24548.494163796382,5.4074172696703755,0.5321407574663855
,0.153710107444533,0.8737907311827716,6.895514896682513e-05,0.48630212635673026,0.8596392099907656,12466.64277970518,22037.359841855698,25635.59175260564,5.508404099043555,0.5217357721607437
,0.16047165244760167,0.8784821629532844,6.993115736095766e-05,0.4777751452021329,0.8608083316866486,12309.367729229592,22177.80980346462,25763.93488200784,5.513508905044013,0.5243187404959557
,0.15557327225677525,0.8747222259764817,6.964978897110527e-05,0.4846246252335396,0.8716473852918344,12514.716816348773,22509.009288129782,25823.526425876433,5.540717810467184,0.5219065019217747
