Conformation_ID,PSA
1,188.28
2,177.37
3,221.67
4,214.92
5,205.71
6,224.93
7,231.09
8,221.82
9,189.80
10,209.47
11,213.73
12,186.15
13,181.63
14,177.15
15,181.00
16,177.46
17,182.66
18,209.10
19,172.20
20,224.70
21,202.97
22,209.52
23,169.91
24,172.76
25,201.22
26,211.94
27,211.64
28,209.83
29,220.67
30,225.04
31,213.04
32,206.19
33,206.87
34,205.12
35,213.59
36,222.20
37,202.83
38,205.63
39,219.09
40,197.28
41,222.58
42,211.65
43,215.41
44,232.52
45,222.18
46,218.89
47,216.31
48,199.18
49,223.98
50,212.41
51,215.18
52,222.82
53,220.78
54,215.00
55,234.75
56,239.83
57,225.98
58,232.77
59,193.60
60,233.95
61,235.57
62,216.41
63,215.31
64,219.24
65,215.43
66,210.82
67,204.16
68,185.87
69,186.28
70,200.68
71,200.31
72,179.88
73,181.57
74,183.57
75,181.28
76,193.68
77,173.53
78,178.28
79,182.80
80,178.74
81,210.38
82,177.29
83,197.56
84,197.05
85,190.40
86,176.84
87,195.92
88,190.28
89,190.51
90,187.72
91,200.89
92,191.85
93,195.75
94,182.22
95,196.74
96,196.74
97,200.62
98,175.62
99,179.13
100,194.71
101,198.46
102,195.63
103,193.75
104,182.40
105,193.01
106,180.75
107,172.54
108,233.23
109,189.74
110,171.30
111,204.42
112,218.43
113,207.24
114,207.78
115,187.83
116,207.47
117,213.45
118,211.62
119,223.70
120,184.35
121,178.75
122,177.58
123,180.71
124,178.38
125,214.70
126,202.26
127,175.57
128,173.57
129,215.95
130,197.72
131,173.47
132,185.13
133,169.85
134,166.65
135,171.52
136,188.38
137,158.88
138,209.24
139,206.14
140,220.90
141,179.78
142,176.81
143,162.99
144,139.60
145,157.82
146,155.87
147,186.92
148,169.20
149,167.77
150,150.22
151,153.98
152,146.94
153,171.39
154,190.73
155,177.64
156,187.77
157,184.50
158,187.78
159,193.36
160,164.61
161,174.16
162,185.47
163,188.73
164,183.74
165,183.22
166,189.33
167,188.12
168,189.16
169,173.29
170,190.00
171,186.58
172,185.70
173,193.42
174,185.16
175,184.70
176,193.70
177,202.40
178,211.58
179,213.39
180,225.02
181,236.23
182,237.88
183,185.25
184,191.07
185,169.02
186,224.46
187,215.45
188,218.05
189,202.53
190,201.52
191,206.17
192,223.78
193,210.89
194,156.73
195,209.02
196,185.96
197,178.25
198,206.37
199,180.83
200,179.77
201,178.11
202,164.79
203,172.08
204,165.15
205,181.29
206,181.68
207,206.63
208,196.70
209,217.41
210,194.63
211,198.09
212,200.03
213,221.77
214,206.47
215,172.75
216,204.83
217,189.49
218,207.38
219,199.13
220,224.29
221,231.53
222,220.03
223,181.31
224,199.85
225,207.37
226,204.49
227,195.02
228,189.02
229,209.71
230,226.46
231,185.35
232,175.96
233,187.30
234,178.14
235,184.61
236,216.65
237,220.89
238,206.06
239,208.37
240,199.79
241,188.09
242,199.01
243,172.54
244,207.94
245,173.30
246,226.41
247,187.80
248,204.22
249,209.16
250,180.86
251,218.01
252,208.24
253,197.55
254,182.76
255,190.96
