Conformation_ID,PSA
1,361.04
2,387.52
3,364.93
4,372.21
5,365.07
6,365.90
7,371.07
8,370.62
9,366.40
10,368.14
11,326.05
12,360.82
13,364.52
14,360.84
15,358.84
16,359.32
17,367.84
18,377.38
19,378.53
20,369.67
21,374.24
22,322.79
23,363.79
24,368.52
25,367.25
26,365.29
27,369.24
28,374.16
29,318.13
30,319.50
31,309.06
32,320.99
33,315.27
34,341.34
35,332.42
36,324.70
37,331.85
38,301.32
39,333.30
40,334.71
41,341.65
42,342.41
43,358.20
44,351.09
45,346.33
46,345.98
47,357.26
48,332.45
49,361.26
50,350.32
51,352.86
52,336.31
53,354.15
54,329.50
55,353.61
56,358.21
57,371.64
58,355.80
59,344.98
60,345.14
61,348.17
62,341.17
63,347.15
64,362.44
65,347.28
66,354.43
67,344.87
68,355.41
69,365.59
70,334.04
71,368.88
72,371.07
73,360.50
74,377.48
75,350.20
76,354.56
77,363.28
78,368.49
79,370.20
80,362.15
81,316.74
82,355.50
83,353.99
84,359.83
85,366.22
86,362.45
87,359.05
88,367.82
89,353.28
90,361.83
91,363.88
92,324.83
93,369.01
94,365.76
95,362.07
96,367.75
97,374.66
98,367.23
99,372.33
100,363.80
101,357.55
102,346.70
103,303.16
104,365.23
105,369.58
106,361.54
107,356.05
108,359.52
109,363.73
110,373.17
111,360.46
112,357.99
113,362.35
114,313.38
115,352.40
116,364.60
117,372.59
118,371.25
119,371.00
120,372.04
121,378.54
122,364.32
123,370.47
124,362.02
125,309.47
126,364.08
127,361.99
128,360.09
129,363.04
130,356.59
131,361.53
132,350.15
133,350.75
134,358.48
135,365.50
136,346.06
137,370.38
138,360.18
139,362.52
140,365.36
141,358.35
142,360.29
143,361.76
144,356.12
145,350.29
146,371.07
147,358.00
148,364.65
149,364.68
150,355.64
151,366.10
152,363.82
153,350.25
154,348.63
155,357.49
156,365.29
157,366.82
158,363.16
159,361.89
160,367.44
161,354.45
162,374.83
163,361.89
164,361.77
165,360.84
166,362.28
167,364.02
168,366.38
169,365.24
170,359.24
171,369.55
172,365.16
173,370.49
174,358.77
175,356.46
176,366.96
177,360.65
178,357.82
179,356.97
180,357.88
181,347.20
182,356.57
183,365.35
184,364.13
185,351.69
186,371.61
187,345.47
188,366.16
189,364.16
190,355.43
191,335.18
192,326.02
193,336.67
194,339.28
195,377.91
196,342.83
197,347.23
198,335.71
199,331.52
200,339.57
201,340.22
202,313.04
203,342.14
204,343.26
205,332.75
206,363.92
207,339.17
208,349.16
209,347.53
210,368.94
211,350.56
212,351.49
213,348.14
214,335.85
215,351.07
216,338.43
217,375.88
218,343.52
219,343.43
220,344.28
221,348.66
222,338.63
223,344.01
224,346.43
225,342.56
226,347.31
227,350.24
228,364.96
229,351.35
230,341.29
231,346.37
232,345.12
233,352.05
234,343.95
235,350.30
236,354.19
237,342.21
238,345.65
239,357.55
240,338.39
241,340.68
242,344.80
243,358.59
244,365.32
245,362.43
246,343.18
247,352.54
248,374.07
249,367.79
250,353.75
251,297.92
252,297.98
253,329.82
254,300.99
255,295.12
256,306.95
257,269.44
258,224.28
259,252.58
260,249.68
261,335.76
262,253.47
263,285.84
264,243.19
265,280.37
266,260.07
267,264.89
268,248.22
269,265.33
270,251.56
271,229.78
272,353.21
273,244.66
274,239.94
275,252.95
276,229.71
277,251.20
278,227.02
279,326.35
280,341.56
281,339.51
282,344.69
283,347.76
284,331.90
285,347.46
286,352.37
287,326.71
288,350.76
289,339.05
290,341.06
291,338.36
292,352.88
293,341.82
294,338.69
295,330.46
296,343.58
297,353.53
298,340.87
299,358.79
300,353.31
301,358.49
302,350.30
303,335.97
304,339.39
305,324.39
306,333.72
307,338.85
308,352.30
309,340.67
310,339.94
311,336.42
312,334.19
313,320.78
314,326.64
315,316.70
316,308.79
317,343.91
318,324.31
319,349.63
320,348.21
321,334.25
322,346.16
323,342.03
324,353.48
325,348.34
326,337.74
327,347.34
328,343.09
329,351.22
330,355.88
331,337.57
332,366.45
333,354.73
334,352.56
335,366.59
336,350.65
337,368.16
338,361.52
339,363.47
340,356.23
341,357.13
342,336.76
343,369.70
344,369.93
345,367.61
346,365.19
347,365.80
348,383.47
349,349.92
350,356.93
351,346.77
352,340.13
353,351.32
354,328.14
355,321.64
356,341.95
357,312.66
358,341.75
359,300.25
360,314.86
361,261.93
362,264.59
363,236.36
364,348.58
365,246.98
366,254.27
367,232.68
368,250.81
369,248.91
370,269.39
371,240.30
372,257.08
373,263.90
374,263.17
375,337.75
376,242.32
377,265.48
378,251.43
379,264.11
380,248.74
381,244.78
382,247.45
383,248.89
384,244.56
385,233.57
386,247.53
387,247.09
388,237.54
389,242.86
390,232.37
391,245.09
392,249.64
393,241.27
394,251.21
395,260.50
396,240.57
397,216.98
398,253.01
399,252.40
400,232.00
401,243.44
402,246.18
403,249.98
404,229.95
405,231.81
406,223.17
407,246.86
408,257.61
409,247.40
410,250.09
411,240.20
412,224.09
413,231.10
414,238.76
415,233.06
416,217.97
417,237.13
418,253.00
419,279.14
420,259.26
421,225.63
422,236.86
423,234.83
424,223.93
425,230.91
426,215.58
427,245.86
428,232.49
429,223.34
430,233.47
431,221.45
432,234.07
433,233.54
434,289.27
435,249.20
436,245.04
437,253.60
438,241.06
439,233.98
440,241.16
441,235.02
442,241.08
443,237.67
444,228.05
445,313.93
446,231.76
447,243.72
448,253.14
449,252.89
450,247.20
451,241.61
452,239.25
453,230.90
454,229.67
455,231.00
456,240.70
457,234.06
458,261.55
459,266.25
460,270.27
461,282.74
462,269.07
463,258.81
464,265.27
465,266.53
466,257.57
467,242.18
468,258.29
469,250.14
470,271.85
471,265.87
472,258.36
473,262.61
474,257.99
475,237.49
476,254.86
477,266.20
478,250.24
479,236.24
480,244.00
481,248.95
482,223.21
483,255.95
484,254.91
485,237.12
486,243.85
487,265.35
488,252.33
489,242.69
490,249.15
491,261.28
492,279.39
493,260.26
494,256.09
495,263.43
496,252.57
497,246.93
498,248.94
499,252.22
500,231.87
501,268.09
502,276.40
503,287.02
504,279.22
505,289.76
506,286.46
507,274.84
508,285.17
509,281.71
510,278.64
511,224.63
512,281.53
513,274.48
514,260.04
515,268.80
516,285.75
517,277.70
518,277.71
519,279.91
520,274.93
521,278.22
522,226.35
523,283.24
524,290.52
525,283.51
526,265.22
527,272.66
528,264.16
529,231.08
530,236.85
531,243.27
532,258.94
533,247.03
534,249.37
535,240.77
536,240.35
537,252.51
538,240.74
539,248.83
540,256.37
541,256.23
542,249.88
543,249.57
544,246.12
545,248.49
546,249.22
547,248.32
548,246.32
549,238.71
550,257.05
551,255.70
552,254.20
553,250.97
554,251.50
555,265.40
556,240.35
557,225.03
558,244.24
559,229.89
560,225.40
561,238.05
562,242.28
563,231.17
564,266.11
565,261.51
566,246.20
567,242.38
568,243.65
569,249.91
570,239.28
571,245.83
572,253.95
573,243.95
574,238.60
575,255.40
576,249.14
577,254.09
578,250.39
579,250.73
580,263.46
581,232.92
582,266.78
583,257.20
584,269.96
585,274.27
586,270.48
587,269.21
588,272.28
589,269.14
590,268.51
591,255.71
592,232.69
593,267.67
594,276.10
595,253.09
596,251.39
597,252.32
598,241.92
599,239.01
600,242.27
601,248.72
602,256.68
603,226.99
604,255.29
605,267.07
606,267.05
607,263.43
608,263.57
609,271.63
610,263.94
611,263.01
612,280.75
613,269.63
614,231.52
615,266.63
616,253.19
617,279.55
618,275.65
619,292.54
620,282.50
621,284.79
622,281.92
623,276.09
624,277.76
625,230.34
626,242.82
627,253.23
628,247.77
629,250.88
630,240.87
631,248.61
632,240.61
633,243.87
634,238.39
635,243.27
636,238.85
637,241.42
638,246.34
639,245.71
640,250.40
641,275.82
642,278.44
643,286.56
644,276.56
645,267.56
646,259.97
647,248.46
648,267.34
649,261.62
650,246.63
651,262.71
652,270.05
653,274.16
654,245.20
655,255.67
656,253.64
657,250.77
658,261.43
659,265.49
660,249.45
661,255.31
662,266.14
663,255.69
664,246.29
665,259.31
666,266.70
667,260.86
668,257.93
669,258.64
670,250.63
671,248.78
672,272.13
673,276.04
674,251.37
675,252.02
676,261.23
677,244.51
678,244.71
679,264.71
680,261.54
681,272.63
682,272.95
683,270.41
684,254.64
685,278.72
686,281.70
687,274.65
688,290.24
689,280.48
690,288.10
691,281.06
692,276.57
693,276.42
694,272.57
695,257.22
696,274.39
697,257.93
698,279.92
699,273.23
700,273.64
701,282.51
702,268.31
703,292.86
704,292.02
705,271.92
706,266.39
707,270.30
708,251.14
709,240.61
710,257.43
711,242.69
712,237.70
713,254.85
714,254.20
715,246.48
716,248.59
717,254.92
718,248.33
719,247.07
720,243.45
721,262.78
722,264.96
723,259.94
724,258.23
725,248.37
726,245.86
727,256.48
728,234.56
729,268.99
730,261.07
731,245.51
732,241.57
733,262.10
734,245.65
735,246.10
736,248.06
737,258.57
738,258.83
739,237.52
740,245.55
741,251.92
742,263.22
743,246.28
744,251.11
745,263.90
746,247.00
747,236.50
748,246.79
749,244.64
750,237.59
751,273.47
752,272.47
753,291.43
754,258.79
755,275.69
756,274.49
757,274.36
758,284.37
759,292.41
760,281.30
761,283.67
762,288.57
763,275.74
764,285.65
765,278.58
766,282.64
767,299.20
768,303.32
769,287.43
770,292.30
771,293.28
772,289.62
773,299.69
774,305.53
775,291.70
776,270.53
777,295.67
778,297.27
779,268.09
780,272.05
781,251.86
782,241.01
783,241.18
784,248.30
785,257.88
786,258.60
787,280.72
788,252.61
789,254.75
790,243.06
791,236.12
792,237.44
793,254.39
794,245.29
795,259.47
796,257.83
797,252.74
798,264.25
799,257.02
800,245.43
801,229.47
802,238.93
803,222.02
804,223.16
805,233.66
806,251.64
807,234.60
808,227.02
809,260.01
810,234.53
811,241.19
812,234.20
813,238.68
814,251.31
815,235.53
816,235.33
817,230.15
818,245.19
819,235.63
820,288.79
821,242.14
822,236.00
823,247.24
824,235.26
825,239.30
826,236.01
827,233.03
828,259.30
829,267.30
830,253.23
831,262.89
832,239.00
833,241.98
834,231.89
835,241.80
836,248.50
837,261.44
838,253.91
839,254.61
840,276.34
841,265.29
842,276.30
843,266.23
844,270.95
845,273.46
846,273.91
847,257.16
848,244.47
849,242.24
850,238.78
851,240.61
852,265.72
853,271.28
854,259.80
855,261.14
856,265.27
857,283.26
858,261.46
859,269.23
860,258.88
861,258.62
862,256.94
863,262.01
864,261.33
865,258.36
866,242.27
867,254.82
868,265.04
869,279.32
870,252.21
871,252.39
872,252.73
873,263.47
874,268.80
875,267.84
876,290.06
877,284.27
878,288.20
879,269.41
880,289.36
881,292.12
882,265.58
883,242.92
884,252.57
885,236.05
886,287.40
887,252.35
888,234.06
889,234.61
890,234.93
891,244.32
892,219.50
893,226.15
894,240.80
895,228.20
896,240.21
897,279.66
898,240.01
899,231.15
900,256.34
901,243.63
902,248.65
903,251.39
904,278.63
905,290.58
906,288.09
907,278.09
908,297.53
909,282.72
910,291.66
911,284.98
912,307.41
913,288.64
914,276.16
915,281.94
916,274.70
917,277.66
918,267.66
919,280.81
920,280.55
921,281.83
922,283.90
923,298.19
924,281.58
925,270.92
926,262.94
927,280.18
928,282.13
929,302.52
930,291.99
931,292.52
932,288.48
933,282.95
934,284.92
935,282.79
936,279.85
937,269.33
938,284.83
939,280.10
940,288.24
941,291.89
942,292.37
943,264.72
944,296.65
945,296.00
946,283.91
947,287.68
948,282.96
949,295.01
950,287.27
951,288.96
952,294.24
953,293.80
954,278.68
955,294.20
956,289.71
957,283.88
958,282.95
959,283.35
960,286.82
961,299.09
962,288.12
963,279.86
964,295.59
965,298.95
966,298.26
967,293.19
968,284.84
969,288.72
970,278.51
971,290.36
972,288.59
973,292.41
974,281.50
975,275.55
976,286.12
977,276.97
978,293.14
979,265.82
980,260.90
981,268.48
982,282.87
983,277.87
984,273.55
985,280.02
986,282.57
987,294.16
988,291.44
989,281.36
990,277.91
991,287.05
992,285.72
993,265.89
994,284.62
995,280.28
996,280.57
997,288.31
998,285.28
999,286.06
1000,294.92
1001,269.82
1002,259.42
1003,275.78
1004,274.78
1005,283.40
1006,261.29
1007,264.37
1008,283.61
1009,289.28
1010,268.96
1011,290.66
1012,258.85
1013,236.37
1014,241.40
1015,248.10
1016,238.85
1017,232.94
1018,249.03
1019,238.65
1020,238.98
1021,236.16
1022,283.93
1023,266.67
1024,260.97
1025,224.73
1026,223.46
1027,242.10
1028,234.15
1029,281.58
1030,284.29
1031,289.56
1032,278.44
1033,282.49
1034,311.90
1035,297.40
1036,292.35
1037,241.79
1038,290.74
1039,274.50
1040,239.44
1041,258.61
1042,255.29
1043,261.63
1044,265.81
1045,273.61
1046,275.77
1047,255.68
1048,245.08
1049,264.39
1050,292.62
1051,295.92
1052,285.46
1053,277.87
1054,293.13
1055,289.91
1056,265.04
1057,271.41
1058,268.08
1059,258.52
1060,266.59
1061,267.07
1062,264.88
1063,269.60
1064,271.85
1065,269.84
1066,269.80
1067,280.63
1068,277.76
1069,276.57
1070,246.03
1071,264.85
1072,262.28
1073,261.68
1074,257.98
1075,273.84
1076,280.66
1077,291.06
1078,274.34
1079,281.19
1080,272.83
1081,261.59
1082,282.83
1083,270.42
1084,256.96
1085,264.66
1086,284.92
1087,284.46
1088,287.84
1089,287.13
1090,281.25
1091,291.76
1092,280.40
1093,293.13
1094,300.21
1095,312.31
1096,266.04
1097,279.59
1098,312.80
1099,281.59
1100,259.98
1101,281.32
1102,264.92
1103,285.05
1104,276.27
1105,269.85
1106,268.97
1107,275.57
1108,275.36
1109,279.92
1110,278.56
1111,280.69
1112,272.79
1113,274.45
1114,286.00
1115,259.19
1116,265.26
1117,255.41
1118,266.56
1119,266.14
1120,282.42
1121,286.76
1122,288.19
1123,277.16
1124,300.49
1125,283.78
1126,275.34
1127,259.55
1128,258.81
1129,259.63
1130,254.00
1131,262.83
1132,259.23
1133,254.64
1134,253.19
1135,246.40
1136,239.36
1137,262.44
1138,267.39
1139,280.40
1140,275.82
1141,266.42
1142,258.10
1143,256.39
1144,262.53
1145,251.06
1146,237.63
1147,240.13
1148,228.26
1149,239.59
1150,261.30
1151,244.84
1152,263.69
1153,266.50
1154,240.85
1155,221.77
1156,222.74
1157,224.69
1158,241.12
1159,253.33
1160,245.85
1161,223.12
1162,226.80
1163,220.85
1164,227.39
1165,240.79
1166,231.43
1167,241.58
1168,261.36
1169,237.68
1170,247.50
1171,250.95
1172,249.20
1173,227.78
1174,260.76
1175,237.10
1176,227.76
1177,241.92
1178,258.76
1179,257.67
1180,264.29
1181,274.04
1182,262.88
1183,265.49
1184,258.79
1185,267.64
1186,263.21
1187,265.50
1188,254.34
1189,253.69
1190,274.24
1191,261.94
1192,265.51
1193,259.93
1194,276.79
1195,237.99
1196,272.73
1197,273.27
1198,269.53
1199,258.60
1200,233.34
1201,241.29
1202,247.19
1203,301.90
1204,259.41
1205,265.75
1206,240.73
1207,261.59
1208,260.96
1209,269.37
1210,259.64
1211,263.44
1212,256.12
1213,248.45
1214,240.16
1215,256.19
1216,263.02
1217,240.07
1218,265.52
1219,260.47
1220,273.89
1221,254.92
1222,260.67
1223,273.53
1224,268.10
1225,248.69
1226,254.54
1227,257.40
1228,230.32
1229,263.59
1230,249.19
1231,289.15
1232,267.83
1233,262.20
1234,268.61
1235,250.89
1236,263.80
1237,274.03
1238,303.35
1239,236.42
1240,259.69
1241,274.51
1242,282.06
1243,269.67
1244,277.77
1245,280.77
1246,264.94
1247,255.42
1248,266.54
1249,243.58
1250,239.18
1251,248.75
1252,250.59
1253,250.18
1254,228.33
1255,239.87
1256,219.69
1257,242.72
1258,232.46
1259,225.08
1260,234.16
1261,228.27
1262,230.54
1263,244.16
1264,243.50
1265,229.35
1266,237.26
1267,220.56
1268,225.52
1269,222.62
1270,242.40
1271,245.41
1272,241.94
1273,220.97
1274,221.96
1275,220.15
1276,235.71
1277,229.56
1278,229.67
1279,244.23
1280,238.19
1281,236.29
1282,228.16
1283,248.64
1284,255.22
1285,232.85
1286,260.35
1287,243.75
1288,277.52
1289,257.40
1290,263.25
1291,264.52
1292,247.58
1293,248.69
1294,242.03
1295,259.78
1296,265.45
1297,273.02
1298,243.85
1299,267.08
1300,279.20
1301,289.88
1302,253.68
1303,297.92
1304,287.38
1305,272.47
1306,251.21
1307,260.88
1308,261.19
1309,247.43
1310,252.02
1311,271.99
1312,269.73
1313,268.23
1314,264.13
1315,291.49
1316,291.07
1317,286.10
1318,259.54
1319,247.77
1320,242.52
1321,262.33
1322,247.99
1323,268.35
1324,252.34
1325,254.71
1326,286.42
1327,279.49
1328,277.24
1329,281.85
1330,284.92
1331,238.97
1332,281.47
1333,265.89
1334,285.91
1335,259.47
1336,250.64
1337,265.48
1338,237.89
1339,252.96
1340,250.87
1341,238.45
1342,229.06
1343,252.36
1344,225.64
1345,235.25
1346,243.62
1347,234.33
1348,239.23
1349,256.77
1350,245.59
1351,241.22
1352,236.97
1353,229.85
1354,232.66
1355,236.56
1356,251.13
1357,245.76
1358,243.29
1359,226.61
1360,233.20
1361,230.41
1362,232.15
1363,230.06
1364,240.45
1365,251.71
1366,251.15
1367,242.88
1368,257.29
1369,242.72
1370,232.53
1371,254.89
1372,217.75
1373,219.99
1374,219.18
1375,240.58
1376,281.32
1377,275.39
1378,269.26
1379,273.35
1380,282.37
1381,269.44
1382,266.64
1383,265.10
1384,280.98
1385,276.65
1386,234.40
1387,266.24
1388,268.42
1389,285.41
1390,275.41
1391,291.48
1392,289.14
1393,277.37
1394,288.12
1395,259.23
1396,296.58
1397,241.50
1398,287.58
1399,289.64
1400,277.41
1401,274.35
1402,278.91
1403,262.97
1404,233.95
1405,235.90
1406,257.68
1407,236.62
1408,234.99
1409,247.78
1410,247.55
1411,250.40
1412,234.00
1413,270.03
1414,272.84
1415,245.99
1416,268.96
1417,282.31
1418,262.31
1419,273.00
1420,257.82
1421,277.70
1422,262.02
1423,233.88
1424,266.44
1425,257.79
1426,275.71
1427,257.87
1428,258.49
1429,257.19
1430,255.85
1431,250.91
1432,243.78
1433,250.82
1434,243.12
1435,254.38
1436,271.25
1437,255.24
1438,247.94
1439,263.20
1440,264.40
1441,254.23
1442,257.65
1443,280.55
1444,263.47
1445,237.40
1446,266.43
1447,262.29
1448,285.62
1449,281.58
1450,286.00
1451,271.20
1452,277.53
1453,276.75
1454,263.04
1455,283.15
1456,256.77
1457,261.22
1458,262.52
1459,255.52
1460,286.14
1461,280.64
1462,271.01
1463,285.36
1464,306.96
1465,269.58
1466,279.89
1467,241.64
1468,271.67
1469,275.06
1470,283.62
1471,281.57
1472,281.15
1473,265.73
1474,284.03
1475,280.86
1476,272.33
1477,288.63
1478,251.98
1479,283.25
1480,298.47
1481,283.64
1482,293.27
1483,280.56
1484,276.53
1485,272.23
1486,283.75
1487,276.45
1488,275.91
1489,222.01
1490,285.36
1491,284.23
1492,270.55
1493,280.84
1494,287.15
1495,280.00
1496,277.53
1497,294.66
1498,278.79
1499,285.63
1500,235.36
1501,291.83
1502,291.45
1503,270.61
1504,254.01
1505,287.68
1506,268.95
1507,261.92
1508,252.91
1509,294.39
1510,261.60
1511,289.49
1512,265.27
1513,270.62
1514,266.43
1515,266.81
1516,251.64
1517,288.97
1518,286.62
1519,280.01
1520,261.50
1521,283.49
1522,327.28
1523,269.89
1524,277.31
1525,258.72
1526,266.44
1527,277.53
1528,267.59
1529,259.25
1530,251.41
1531,262.79
1532,253.69
1533,269.90
1534,269.26
1535,254.67
1536,260.91
1537,272.85
1538,269.04
1539,257.10
1540,265.70
1541,261.02
1542,252.09
1543,252.51
1544,261.02
1545,259.09
1546,255.30
1547,254.66
1548,268.09
1549,259.58
1550,265.24
1551,259.85
1552,269.58
1553,274.76
1554,270.52
1555,276.12
1556,257.98
1557,262.38
1558,261.09
1559,270.58
1560,300.24
1561,270.37
1562,248.55
1563,254.23
1564,250.43
1565,233.23
1566,256.28
1567,256.70
1568,253.69
1569,252.13
1570,266.62
1571,245.90
1572,264.86
1573,250.94
1574,275.85
1575,250.73
1576,266.38
1577,279.60
1578,259.49
1579,277.09
1580,242.29
1581,273.09
1582,264.92
1583,267.67
1584,265.58
1585,260.48
1586,279.87
1587,278.23
1588,278.16
1589,277.90
1590,283.67
1591,291.72
1592,261.50
1593,277.28
1594,273.58
1595,276.11
1596,270.57
1597,284.38
1598,269.15
1599,263.01
1600,262.86
1601,272.19
1602,265.79
1603,302.90
1604,288.27
1605,268.01
1606,269.40
1607,240.47
1608,287.00
1609,258.49
1610,278.68
1611,273.72
1612,279.74
1613,266.27
1614,265.83
1615,283.52
1616,260.38
1617,238.59
1618,268.43
1619,265.52
1620,252.20
1621,270.87
1622,288.71
1623,291.02
1624,285.63
1625,246.88
1626,335.39
1627,351.56
1628,353.51
1629,354.69
1630,341.96
1631,353.94
1632,361.11
1633,363.53
1634,345.63
1635,351.96
1636,251.96
1637,342.44
1638,338.45
1639,348.48
1640,352.56
1641,364.04
1642,356.32
1643,350.73
1644,348.58
1645,347.39
1646,359.74
1647,260.97
1648,344.85
1649,347.23
1650,331.49
1651,345.26
1652,349.32
1653,352.73
1654,249.27
1655,274.37
1656,267.72
1657,279.58
1658,259.83
1659,282.57
1660,278.99
1661,256.40
1662,266.87
1663,248.61
1664,245.93
1665,240.34
1666,235.71
1667,225.75
1668,285.05
1669,282.87
1670,306.33
1671,324.26
1672,327.45
1673,275.51
1674,337.44
1675,325.92
1676,345.15
1677,340.12
1678,358.56
1679,351.45
1680,352.85
1681,357.89
1682,364.39
1683,349.48
1684,274.34
1685,346.53
1686,342.84
1687,340.76
1688,337.62
1689,342.90
1690,348.58
1691,340.43
1692,344.42
1693,341.75
1694,331.38
1695,274.65
1696,329.69
1697,338.97
1698,341.47
1699,345.19
1700,336.27
1701,347.16
1702,303.84
1703,314.10
1704,306.39
1705,302.93
1706,260.81
1707,304.71
1708,329.16
1709,336.56
1710,335.53
1711,335.99
1712,344.04
1713,339.94
1714,343.90
1715,340.25
1716,327.94
1717,276.92
1718,344.18
1719,315.28
1720,327.77
1721,308.82
1722,338.44
1723,343.87
1724,342.40
1725,337.43
1726,329.01
1727,342.22
1728,280.39
1729,347.75
1730,355.38
1731,353.25
1732,343.36
1733,342.68
1734,347.29
1735,359.44
1736,350.17
1737,344.33
1738,350.14
1739,272.62
1740,353.52
1741,345.38
1742,327.68
1743,344.56
1744,352.09
1745,352.06
1746,371.49
1747,355.67
1748,363.57
1749,336.26
1750,270.24
1751,364.99
1752,365.53
1753,363.72
1754,355.76
1755,365.18
1756,362.46
1757,365.33
1758,372.38
1759,365.47
1760,364.41
1761,349.01
1762,360.38
1763,361.41
1764,362.69
1765,365.61
1766,354.84
1767,354.09
1768,356.01
1769,361.12
1770,359.37
1771,359.54
1772,354.42
1773,361.31
1774,372.72
1775,358.48
1776,361.35
1777,363.67
1778,370.66
1779,363.23
1780,342.11
1781,345.73
1782,343.80
1783,343.08
1784,336.63
1785,341.33
1786,347.47
1787,335.34
1788,342.11
1789,314.19
1790,319.60
1791,336.07
1792,310.51
1793,336.52
1794,349.50
1795,335.96
1796,334.84
1797,341.32
1798,347.53
1799,345.77
1800,344.51
1801,355.29
1802,348.54
1803,346.39
1804,352.90
1805,337.03
1806,342.45
1807,360.04
1808,343.43
1809,340.98
1810,344.20
1811,358.21
1812,357.66
1813,349.55
1814,337.26
1815,345.15
1816,349.49
1817,348.95
1818,357.50
1819,351.80
1820,344.25
1821,352.70
1822,345.75
1823,348.61
1824,358.93
1825,360.51
1826,352.41
1827,347.08
1828,352.56
1829,350.59
1830,361.48
1831,342.86
1832,341.85
1833,347.38
1834,356.73
1835,360.91
1836,334.61
1837,338.13
1838,327.78
1839,331.96
1840,348.94
1841,342.48
1842,338.51
1843,349.06
1844,348.94
1845,351.81
1846,350.59
1847,346.45
1848,350.97
1849,351.77
1850,364.22
1851,372.49
1852,358.86
1853,339.32
1854,355.04
1855,354.46
1856,360.20
1857,357.23
1858,357.12
1859,357.77
1860,357.07
1861,372.25
1862,359.25
1863,367.86
1864,348.72
1865,369.28
1866,355.27
1867,370.26
1868,370.32
1869,364.30
1870,363.28
1871,365.10
1872,376.87
1873,370.41
1874,363.97
1875,344.31
1876,320.89
1877,322.17
1878,339.10
1879,345.17
1880,322.85
1881,347.63
1882,347.02
1883,341.84
1884,335.10
1885,349.66
1886,361.98
1887,348.47
1888,347.07
1889,344.43
1890,339.88
1891,343.88
1892,345.91
1893,347.52
1894,352.76
1895,358.33
1896,354.03
1897,368.48
1898,330.82
1899,329.38
1900,313.67
1901,316.63
1902,326.93
1903,339.44
1904,371.01
1905,368.23
1906,362.56
1907,367.73
1908,358.95
1909,359.33
1910,349.83
1911,368.38
1912,357.98
1913,362.15
1914,368.11
1915,363.82
1916,362.99
1917,373.85
1918,362.50
1919,364.64
1920,365.78
1921,358.85
1922,363.43
1923,363.65
1924,358.44
1925,354.60
1926,364.77
1927,351.62
1928,357.29
1929,358.04
1930,356.16
1931,356.60
1932,368.08
1933,349.81
1934,364.58
1935,346.06
1936,355.81
1937,367.27
1938,379.65
1939,380.39
1940,361.77
1941,348.55
1942,354.94
1943,349.41
1944,350.59
1945,365.56
1946,342.41
1947,354.46
1948,356.00
1949,354.72
1950,345.37
1951,344.72
