Conformation_ID,Num_IMHB,IMHB_Pairs
1,3,"[(72, 16), (76, 8), (89, 32)]"
2,3,"[(72, 16), (76, 8), (89, 32)]"
3,3,"[(72, 16), (76, 8), (89, 32)]"
4,3,"[(72, 16), (76, 8), (89, 32)]"
5,3,"[(72, 16), (76, 8), (89, 32)]"
6,3,"[(72, 16), (76, 8), (89, 32)]"
7,3,"[(72, 16), (76, 8), (89, 32)]"
8,2,"[(72, 16), (76, 8)]"
9,2,"[(72, 16), (76, 8)]"
10,2,"[(72, 16), (76, 8)]"
11,3,"[(72, 16), (76, 8), (80, 52)]"
12,2,"[(72, 16), (76, 8)]"
13,2,"[(72, 16), (76, 8)]"
14,2,"[(72, 16), (76, 8)]"
15,2,"[(72, 16), (76, 8)]"
16,2,"[(72, 16), (76, 8)]"
17,2,"[(72, 16), (76, 8)]"
18,2,"[(72, 16), (76, 8)]"
19,3,"[(72, 16), (76, 8), (80, 3)]"
20,2,"[(72, 16), (76, 8)]"
21,3,"[(72, 16), (76, 8), (80, 3)]"
22,3,"[(72, 16), (76, 8), (80, 52)]"
23,2,"[(72, 16), (76, 8)]"
24,2,"[(72, 16), (76, 8)]"
25,2,"[(72, 16), (76, 8)]"
26,2,"[(72, 16), (76, 8)]"
27,2,"[(72, 16), (76, 8)]"
28,2,"[(72, 16), (76, 8)]"
29,3,"[(72, 16), (76, 8), (80, 52)]"
30,3,"[(72, 16), (76, 8), (80, 52)]"
31,3,"[(72, 16), (76, 8), (80, 52)]"
32,3,"[(72, 16), (76, 8), (80, 52)]"
33,3,"[(72, 16), (76, 8), (80, 52)]"
34,3,"[(72, 16), (76, 8), (80, 52)]"
35,3,"[(72, 16), (76, 8), (80, 52)]"
36,2,"[(72, 16), (76, 8)]"
37,3,"[(72, 16), (76, 8), (80, 51)]"
38,4,"[(72, 16), (76, 8), (80, 3), (89, 3)]"
39,4,"[(72, 16), (76, 8), (80, 3), (89, 3)]"
40,2,"[(72, 16), (76, 8)]"
41,3,"[(72, 16), (76, 8), (80, 3)]"
42,3,"[(72, 16), (76, 8), (80, 3)]"
43,3,"[(72, 16), (76, 8), (80, 3)]"
44,2,"[(72, 16), (76, 8)]"
45,3,"[(72, 16), (76, 8), (89, 52)]"
46,3,"[(72, 16), (76, 8), (89, 52)]"
47,2,"[(72, 16), (76, 8)]"
