Conformation_ID,Num_IMHB,IMHB_Pairs
1,2,"[(79, 16), (83, 8)]"
2,2,"[(79, 16), (83, 8)]"
3,2,"[(79, 16), (83, 8)]"
4,2,"[(79, 16), (83, 8)]"
5,2,"[(79, 16), (83, 8)]"
6,1,"[(83, 4)]"
7,2,"[(79, 16), (83, 8)]"
8,2,"[(79, 16), (83, 8)]"
9,2,"[(79, 16), (83, 8)]"
10,2,"[(79, 16), (83, 8)]"
11,3,"[(79, 16), (83, 8), (104, 8)]"
12,2,"[(79, 16), (83, 8)]"
13,2,"[(79, 16), (83, 8)]"
14,2,"[(79, 16), (83, 8)]"
15,2,"[(79, 16), (83, 8)]"
16,2,"[(79, 16), (83, 8)]"
17,2,"[(79, 16), (83, 8)]"
18,2,"[(79, 16), (83, 8)]"
19,2,"[(79, 16), (83, 8)]"
20,2,"[(79, 16), (83, 8)]"
21,2,"[(79, 16), (83, 8)]"
22,2,"[(79, 16), (104, 8)]"
23,2,"[(79, 16), (83, 8)]"
24,2,"[(79, 16), (83, 8)]"
25,2,"[(79, 16), (83, 8)]"
26,2,"[(79, 16), (83, 8)]"
27,2,"[(79, 16), (83, 8)]"
28,2,"[(79, 16), (83, 8)]"
29,3,"[(79, 16), (83, 8), (104, 8)]"
30,3,"[(79, 16), (83, 8), (104, 8)]"
31,2,"[(79, 16), (83, 8)]"
32,3,"[(79, 16), (83, 8), (104, 8)]"
33,3,"[(79, 16), (83, 8), (104, 8)]"
34,3,"[(79, 16), (83, 8), (104, 8)]"
35,3,"[(79, 16), (83, 8), (104, 8)]"
36,3,"[(79, 16), (83, 8), (104, 8)]"
37,2,"[(79, 16), (83, 8)]"
38,3,"[(79, 16), (83, 8), (104, 8)]"
39,3,"[(79, 16), (83, 8), (104, 8)]"
40,3,"[(79, 16), (83, 8), (104, 8)]"
41,3,"[(79, 16), (83, 8), (104, 8)]"
42,3,"[(79, 16), (83, 39), (104, 8)]"
43,3,"[(79, 16), (83, 39), (104, 8)]"
44,3,"[(79, 16), (83, 39), (104, 8)]"
45,3,"[(79, 16), (83, 39), (104, 8)]"
46,2,"[(79, 16), (83, 8)]"
47,2,"[(79, 16), (83, 8)]"
48,3,"[(79, 16), (83, 8), (104, 8)]"
49,3,"[(79, 16), (83, 8), (104, 8)]"
50,3,"[(79, 16), (83, 39), (104, 8)]"
51,2,"[(79, 16), (83, 8)]"
52,2,"[(79, 16), (83, 8)]"
53,2,"[(79, 16), (83, 8)]"
54,2,"[(79, 16), (83, 8)]"
55,3,"[(79, 16), (83, 8), (104, 8)]"
56,2,"[(79, 16), (83, 8)]"
57,3,"[(79, 16), (83, 8), (104, 8)]"
58,2,"[(79, 16), (83, 8)]"
59,3,"[(79, 16), (83, 8), (83, 59)]"
60,3,"[(79, 16), (83, 8), (104, 8)]"
61,3,"[(79, 16), (83, 8), (104, 8)]"
62,3,"[(79, 16), (83, 8), (83, 39)]"
63,3,"[(79, 16), (83, 8), (104, 8)]"
64,4,"[(79, 16), (83, 8), (87, 58), (104, 8)]"
65,3,"[(79, 16), (83, 8), (87, 58)]"
66,2,"[(79, 16), (83, 39)]"
67,3,"[(79, 16), (83, 8), (87, 58)]"
68,3,"[(79, 16), (83, 8), (87, 58)]"
69,4,"[(79, 16), (83, 8), (83, 39), (87, 58)]"
70,3,"[(79, 16), (83, 8), (104, 8)]"
71,2,"[(79, 16), (83, 8)]"
72,2,"[(79, 16), (83, 8)]"
73,3,"[(79, 16), (83, 8), (83, 39)]"
74,3,"[(79, 16), (83, 8), (104, 8)]"
75,4,"[(79, 16), (83, 31), (83, 8), (104, 8)]"
76,5,"[(79, 16), (83, 31), (83, 8), (87, 28), (104, 8)]"
77,4,"[(79, 16), (83, 8), (83, 31), (87, 28)]"
78,5,"[(79, 16), (83, 8), (83, 31), (87, 28), (104, 8)]"
79,4,"[(79, 16), (83, 31), (83, 8), (104, 8)]"
80,5,"[(79, 16), (83, 8), (83, 31), (87, 28), (104, 8)]"
81,3,"[(79, 16), (83, 8), (104, 8)]"
82,5,"[(79, 16), (83, 8), (83, 31), (87, 28), (104, 8)]"
83,5,"[(79, 16), (83, 8), (83, 31), (87, 28), (104, 8)]"
84,4,"[(79, 16), (83, 8), (87, 31), (104, 8)]"
85,4,"[(79, 16), (83, 8), (83, 31), (104, 8)]"
