Conformation_ID,Num_IMHB,IMHB_Pairs
1,1,"[(88, 62)]"
2,1,"[(88, 62)]"
3,2,"[(67, 56), (88, 62)]"
4,1,"[(88, 62)]"
5,1,"[(88, 62)]"
6,2,"[(67, 56), (88, 62)]"
7,2,"[(67, 56), (88, 62)]"
8,2,"[(67, 56), (88, 62)]"
9,2,"[(67, 56), (88, 62)]"
10,2,"[(67, 56), (88, 62)]"
11,2,"[(67, 56), (88, 62)]"
12,1,"[(67, 56)]"
13,2,"[(67, 56), (88, 62)]"
14,1,"[(67, 56)]"
15,1,"[(88, 62)]"
16,1,"[(67, 56)]"
17,1,"[(88, 62)]"
18,1,"[(88, 62)]"
19,1,"[(88, 62)]"
20,0,[]
21,1,"[(67, 56)]"
22,2,"[(67, 56), (88, 62)]"
23,1,"[(88, 62)]"
24,0,[]
25,2,"[(67, 56), (88, 62)]"
26,2,"[(67, 56), (88, 62)]"
27,2,"[(67, 56), (88, 62)]"
28,2,"[(67, 56), (88, 62)]"
29,1,"[(67, 56)]"
30,1,"[(88, 62)]"
31,0,[]
32,1,"[(67, 56)]"
33,1,"[(67, 56)]"
34,1,"[(67, 56)]"
35,1,"[(67, 56)]"
36,1,"[(67, 56)]"
37,1,"[(67, 56)]"
38,1,"[(67, 56)]"
39,1,"[(67, 56)]"
40,1,"[(67, 56)]"
41,1,"[(67, 56)]"
42,1,"[(67, 56)]"
43,1,"[(67, 56)]"
44,1,"[(67, 56)]"
45,1,"[(67, 56)]"
46,0,[]
47,1,"[(88, 62)]"
48,1,"[(67, 56)]"
49,2,"[(67, 56), (88, 62)]"
50,0,[]
51,1,"[(88, 62)]"
52,0,[]
53,1,"[(88, 62)]"
54,1,"[(67, 56)]"
55,1,"[(67, 56)]"
56,0,[]
57,1,"[(67, 56)]"
58,1,"[(67, 56)]"
59,0,[]
60,1,"[(88, 62)]"
61,1,"[(67, 56)]"
62,0,[]
63,0,[]
64,1,"[(67, 56)]"
65,1,"[(67, 56)]"
66,1,"[(67, 56)]"
67,1,"[(88, 62)]"
68,1,"[(67, 56)]"
69,1,"[(67, 56)]"
70,1,"[(67, 56)]"
71,1,"[(67, 56)]"
72,1,"[(67, 56)]"
73,1,"[(67, 56)]"
74,1,"[(67, 56)]"
75,1,"[(67, 56)]"
76,1,"[(67, 56)]"
77,1,"[(67, 56)]"
78,1,"[(67, 56)]"
79,1,"[(67, 56)]"
80,1,"[(67, 56)]"
81,1,"[(67, 56)]"
82,1,"[(67, 56)]"
83,1,"[(67, 56)]"
84,1,"[(67, 56)]"
85,0,[]
86,1,"[(67, 56)]"
87,1,"[(67, 56)]"
88,0,[]
89,1,"[(67, 56)]"
90,1,"[(67, 56)]"
91,1,"[(67, 56)]"
92,1,"[(67, 56)]"
93,1,"[(67, 56)]"
94,1,"[(67, 56)]"
95,1,"[(67, 56)]"
96,1,"[(67, 56)]"
97,1,"[(67, 56)]"
98,1,"[(67, 56)]"
99,1,"[(67, 56)]"
100,1,"[(67, 56)]"
101,1,"[(67, 56)]"
102,1,"[(67, 56)]"
103,1,"[(67, 56)]"
104,1,"[(67, 56)]"
105,0,[]
106,1,"[(67, 56)]"
107,0,[]
108,1,"[(67, 56)]"
109,1,"[(67, 56)]"
110,1,"[(67, 56)]"
111,0,[]
112,1,"[(67, 56)]"
113,0,[]
114,0,[]
115,1,"[(67, 56)]"
116,1,"[(67, 56)]"
117,1,"[(67, 56)]"
118,0,[]
119,0,[]
120,1,"[(67, 56)]"
121,1,"[(67, 56)]"
122,0,[]
123,1,"[(67, 56)]"
124,1,"[(67, 56)]"
125,1,"[(67, 56)]"
126,1,"[(67, 56)]"
127,0,[]
128,1,"[(67, 56)]"
129,1,"[(67, 56)]"
130,1,"[(67, 56)]"
131,1,"[(67, 56)]"
132,1,"[(67, 56)]"
133,1,"[(67, 56)]"
134,1,"[(67, 56)]"
135,1,"[(67, 56)]"
136,1,"[(67, 56)]"
137,1,"[(67, 56)]"
138,1,"[(67, 56)]"
139,1,"[(67, 56)]"
140,1,"[(67, 56)]"
141,1,"[(67, 56)]"
142,1,"[(67, 56)]"
143,1,"[(67, 56)]"
144,1,"[(67, 56)]"
145,1,"[(67, 56)]"
146,1,"[(67, 56)]"
147,1,"[(67, 56)]"
148,1,"[(67, 56)]"
149,1,"[(67, 56)]"
150,1,"[(67, 56)]"
151,1,"[(67, 56)]"
152,1,"[(67, 56)]"
153,1,"[(67, 56)]"
154,1,"[(67, 56)]"
155,1,"[(67, 56)]"
