Conformation_ID,Num_IMHB,IMHB_Pairs
1,2,"[(135, 48), (152, 100)]"
2,1,"[(152, 100)]"
3,1,"[(152, 100)]"
4,2,"[(135, 100), (152, 100)]"
5,1,"[(152, 100)]"
6,1,"[(152, 100)]"
7,2,"[(135, 100), (152, 100)]"
8,1,"[(152, 100)]"
9,2,"[(135, 100), (152, 100)]"
10,2,"[(135, 100), (152, 100)]"
11,1,"[(152, 100)]"
12,2,"[(135, 48), (152, 100)]"
13,2,"[(135, 100), (152, 100)]"
14,1,"[(152, 100)]"
15,2,"[(135, 48), (152, 100)]"
16,2,"[(135, 48), (152, 100)]"
17,1,"[(152, 100)]"
18,1,"[(152, 100)]"
19,1,"[(152, 100)]"
20,1,"[(152, 100)]"
21,2,"[(135, 48), (152, 100)]"
22,2,"[(135, 100), (152, 100)]"
23,1,"[(152, 100)]"
24,2,"[(135, 48), (152, 100)]"
25,2,"[(135, 48), (152, 100)]"
26,1,"[(152, 100)]"
27,1,"[(152, 100)]"
28,2,"[(135, 100), (152, 100)]"
29,1,"[(152, 100)]"
30,1,"[(152, 100)]"
31,2,"[(135, 100), (152, 100)]"
32,1,"[(152, 100)]"
33,2,"[(135, 100), (152, 100)]"
34,2,"[(135, 100), (152, 100)]"
35,2,"[(135, 100), (152, 100)]"
36,2,"[(135, 100), (152, 100)]"
37,2,"[(135, 48), (152, 100)]"
38,1,"[(152, 100)]"
39,2,"[(135, 100), (152, 100)]"
40,1,"[(152, 100)]"
41,1,"[(152, 100)]"
42,1,"[(152, 100)]"
43,1,"[(152, 100)]"
44,2,"[(135, 100), (152, 100)]"
45,2,"[(135, 100), (152, 100)]"
46,1,"[(152, 100)]"
47,2,"[(135, 100), (152, 100)]"
48,2,"[(135, 48), (152, 100)]"
49,1,"[(152, 100)]"
50,2,"[(135, 100), (152, 100)]"
51,2,"[(135, 48), (152, 100)]"
52,2,"[(135, 100), (152, 100)]"
53,3,"[(135, 51), (135, 48), (152, 100)]"
54,2,"[(135, 48), (152, 100)]"
55,2,"[(135, 48), (152, 100)]"
56,2,"[(135, 51), (152, 100)]"
57,2,"[(135, 48), (152, 100)]"
58,2,"[(135, 48), (152, 100)]"
59,2,"[(135, 48), (152, 100)]"
60,2,"[(135, 51), (152, 100)]"
61,2,"[(135, 48), (152, 100)]"
62,3,"[(135, 51), (135, 48), (152, 100)]"
63,2,"[(135, 48), (152, 100)]"
64,2,"[(135, 51), (152, 100)]"
65,3,"[(135, 51), (135, 48), (152, 100)]"
66,1,"[(152, 100)]"
67,3,"[(135, 51), (135, 48), (152, 100)]"
68,1,"[(152, 100)]"
69,2,"[(135, 51), (152, 100)]"
70,2,"[(135, 100), (152, 100)]"
71,3,"[(135, 51), (135, 48), (152, 100)]"
72,3,"[(135, 51), (135, 48), (152, 100)]"
73,2,"[(135, 48), (152, 100)]"
74,2,"[(135, 51), (152, 100)]"
75,1,"[(152, 100)]"
76,2,"[(135, 51), (152, 100)]"
77,2,"[(135, 51), (152, 100)]"
78,2,"[(135, 51), (152, 100)]"
79,2,"[(135, 51), (152, 100)]"
80,2,"[(135, 51), (152, 100)]"
81,2,"[(135, 100), (152, 100)]"
82,2,"[(135, 48), (152, 100)]"
83,2,"[(135, 48), (152, 100)]"
84,2,"[(135, 51), (152, 100)]"
85,2,"[(135, 51), (152, 100)]"
86,2,"[(135, 48), (152, 100)]"
87,3,"[(135, 51), (135, 48), (152, 100)]"
88,1,"[(152, 100)]"
89,1,"[(152, 100)]"
90,2,"[(135, 48), (152, 100)]"
91,2,"[(135, 48), (152, 100)]"
92,2,"[(135, 100), (152, 100)]"
93,2,"[(135, 48), (152, 100)]"
94,2,"[(135, 48), (152, 100)]"
95,1,"[(152, 100)]"
96,1,"[(152, 100)]"
97,1,"[(152, 100)]"
98,1,"[(152, 100)]"
99,1,"[(152, 100)]"
100,1,"[(152, 100)]"
101,2,"[(135, 48), (152, 100)]"
102,1,"[(152, 100)]"
103,1,"[(152, 100)]"
104,2,"[(135, 48), (152, 100)]"
105,2,"[(135, 48), (152, 100)]"
106,2,"[(135, 48), (152, 100)]"
107,2,"[(135, 48), (152, 100)]"
108,2,"[(135, 48), (152, 100)]"
109,2,"[(135, 48), (152, 100)]"
110,1,"[(152, 100)]"
111,1,"[(152, 100)]"
112,2,"[(135, 48), (152, 100)]"
113,2,"[(135, 48), (152, 100)]"
114,2,"[(135, 48), (152, 100)]"
115,2,"[(135, 48), (152, 100)]"
116,2,"[(135, 48), (152, 100)]"
117,1,"[(152, 100)]"
118,2,"[(135, 51), (152, 100)]"
119,1,"[(152, 100)]"
120,2,"[(135, 48), (152, 100)]"
121,1,"[(152, 100)]"
122,1,"[(152, 100)]"
123,1,"[(152, 100)]"
124,2,"[(135, 48), (152, 100)]"
125,2,"[(135, 48), (152, 100)]"
126,2,"[(135, 100), (152, 100)]"
127,2,"[(135, 100), (152, 100)]"
128,2,"[(135, 100), (152, 100)]"
129,2,"[(135, 100), (152, 100)]"
130,2,"[(135, 100), (152, 100)]"
131,1,"[(152, 100)]"
132,2,"[(135, 100), (152, 100)]"
133,2,"[(135, 100), (152, 100)]"
134,2,"[(135, 100), (152, 100)]"
135,2,"[(135, 100), (152, 100)]"
136,2,"[(135, 100), (152, 100)]"
137,2,"[(135, 100), (152, 100)]"
138,2,"[(135, 100), (152, 100)]"
139,2,"[(135, 100), (152, 100)]"
140,2,"[(135, 100), (152, 100)]"
141,2,"[(135, 100), (152, 100)]"
142,1,"[(152, 100)]"
143,2,"[(135, 100), (152, 100)]"
144,2,"[(135, 100), (152, 100)]"
145,2,"[(135, 100), (152, 100)]"
146,2,"[(135, 100), (152, 100)]"
147,1,"[(152, 100)]"
148,2,"[(135, 100), (152, 100)]"
149,2,"[(135, 100), (152, 100)]"
150,1,"[(152, 100)]"
151,2,"[(135, 100), (152, 100)]"
152,1,"[(152, 100)]"
153,2,"[(135, 100), (152, 100)]"
154,2,"[(135, 100), (152, 100)]"
155,2,"[(135, 100), (152, 100)]"
156,2,"[(135, 100), (152, 100)]"
157,1,"[(152, 100)]"
158,2,"[(135, 100), (152, 100)]"
159,2,"[(135, 100), (152, 100)]"
160,1,"[(152, 100)]"
161,1,"[(152, 100)]"
162,2,"[(135, 100), (152, 100)]"
163,2,"[(135, 100), (152, 100)]"
164,1,"[(152, 100)]"
165,1,"[(152, 100)]"
166,2,"[(135, 100), (152, 100)]"
167,2,"[(135, 100), (152, 100)]"
168,2,"[(135, 100), (152, 100)]"
169,2,"[(135, 100), (152, 100)]"
170,2,"[(135, 100), (152, 100)]"
171,2,"[(135, 100), (152, 100)]"
172,1,"[(152, 100)]"
173,2,"[(135, 100), (152, 100)]"
174,2,"[(135, 100), (152, 100)]"
175,2,"[(135, 100), (152, 100)]"
176,2,"[(135, 100), (152, 100)]"
177,2,"[(135, 100), (152, 100)]"
178,1,"[(152, 100)]"
179,1,"[(152, 100)]"
180,2,"[(135, 100), (152, 100)]"
181,2,"[(135, 100), (152, 100)]"
182,2,"[(135, 100), (152, 100)]"
183,2,"[(135, 100), (152, 100)]"
184,1,"[(152, 100)]"
185,2,"[(135, 100), (152, 100)]"
186,2,"[(135, 100), (152, 100)]"
187,2,"[(135, 100), (152, 100)]"
188,2,"[(135, 100), (152, 100)]"
189,2,"[(135, 100), (152, 100)]"
190,2,"[(135, 100), (152, 100)]"
191,2,"[(135, 100), (152, 100)]"
192,2,"[(135, 100), (152, 100)]"
193,2,"[(135, 100), (152, 98)]"
194,1,"[(152, 100)]"
195,2,"[(135, 100), (152, 100)]"
196,1,"[(152, 100)]"
197,1,"[(152, 100)]"
198,1,"[(152, 100)]"
199,1,"[(152, 100)]"
200,1,"[(152, 100)]"
201,1,"[(152, 100)]"
202,1,"[(152, 100)]"
203,1,"[(152, 100)]"
204,1,"[(152, 100)]"
205,1,"[(152, 100)]"
206,2,"[(135, 100), (152, 100)]"
207,1,"[(152, 100)]"
208,1,"[(152, 100)]"
209,1,"[(152, 100)]"
210,2,"[(135, 48), (152, 100)]"
211,1,"[(152, 100)]"
212,1,"[(152, 100)]"
213,1,"[(152, 100)]"
214,1,"[(152, 100)]"
215,1,"[(152, 100)]"
216,1,"[(152, 100)]"
217,2,"[(135, 100), (152, 100)]"
218,1,"[(152, 100)]"
