Conformation_ID,Num_IMHB,IMHB_Pairs
1,2,"[(107, 44), (111, 36)]"
2,2,"[(107, 44), (111, 36)]"
3,2,"[(107, 44), (111, 36)]"
4,1,"[(107, 44)]"
5,2,"[(107, 44), (111, 36)]"
6,1,"[(107, 44)]"
7,1,"[(107, 44)]"
8,1,"[(107, 44)]"
9,1,"[(107, 44)]"
10,1,"[(107, 44)]"
11,2,"[(107, 44), (111, 36)]"
12,1,"[(107, 44)]"
13,1,"[(107, 44)]"
14,2,"[(107, 44), (111, 36)]"
15,1,"[(107, 44)]"
16,1,"[(107, 44)]"
17,2,"[(107, 44), (111, 36)]"
18,1,"[(107, 44)]"
19,1,"[(107, 44)]"
20,1,"[(107, 44)]"
21,1,"[(107, 44)]"
22,2,"[(107, 44), (111, 36)]"
23,2,"[(107, 44), (111, 36)]"
24,2,"[(107, 44), (111, 36)]"
25,2,"[(107, 44), (111, 36)]"
26,1,"[(107, 44)]"
27,1,"[(107, 44)]"
28,1,"[(107, 44)]"
29,2,"[(107, 44), (111, 36)]"
30,1,"[(111, 36)]"
31,1,"[(111, 36)]"
32,2,"[(107, 44), (111, 36)]"
33,2,"[(107, 44), (111, 36)]"
34,2,"[(107, 44), (111, 36)]"
35,2,"[(107, 44), (111, 36)]"
36,2,"[(107, 44), (111, 36)]"
37,2,"[(107, 44), (111, 36)]"
38,2,"[(107, 44), (111, 36)]"
39,2,"[(107, 44), (111, 36)]"
40,2,"[(107, 44), (111, 36)]"
41,2,"[(107, 44), (111, 36)]"
42,2,"[(107, 44), (111, 36)]"
43,2,"[(107, 44), (111, 36)]"
44,2,"[(107, 44), (111, 36)]"
45,2,"[(107, 44), (111, 36)]"
46,2,"[(107, 44), (111, 36)]"
47,2,"[(107, 44), (111, 36)]"
48,1,"[(107, 44)]"
49,2,"[(107, 44), (111, 36)]"
50,2,"[(107, 44), (111, 36)]"
51,2,"[(107, 44), (111, 36)]"
52,2,"[(107, 44), (111, 36)]"
53,2,"[(107, 44), (111, 36)]"
54,2,"[(107, 44), (111, 36)]"
55,2,"[(107, 44), (111, 36)]"
56,2,"[(107, 44), (111, 36)]"
57,2,"[(107, 44), (111, 36)]"
58,2,"[(107, 44), (111, 36)]"
59,2,"[(107, 44), (111, 36)]"
60,2,"[(107, 44), (111, 36)]"
61,1,"[(111, 36)]"
62,2,"[(107, 44), (111, 36)]"
63,2,"[(107, 44), (111, 36)]"
64,2,"[(107, 44), (111, 36)]"
65,2,"[(107, 44), (111, 36)]"
66,1,"[(111, 36)]"
67,1,"[(111, 36)]"
68,2,"[(107, 44), (111, 36)]"
69,2,"[(107, 44), (111, 36)]"
70,2,"[(107, 44), (111, 36)]"
71,2,"[(107, 44), (111, 36)]"
72,2,"[(107, 44), (111, 36)]"
73,2,"[(107, 44), (111, 36)]"
74,1,"[(107, 44)]"
75,2,"[(107, 44), (111, 36)]"
76,2,"[(107, 44), (111, 36)]"
77,2,"[(107, 44), (111, 36)]"
78,2,"[(107, 44), (111, 36)]"
79,2,"[(107, 44), (111, 36)]"
80,1,"[(107, 44)]"
81,2,"[(107, 44), (111, 36)]"
82,2,"[(107, 44), (111, 36)]"
83,2,"[(107, 44), (111, 36)]"
84,2,"[(107, 44), (111, 36)]"
85,2,"[(107, 44), (111, 36)]"
86,2,"[(107, 44), (111, 36)]"
87,2,"[(107, 44), (111, 36)]"
88,3,"[(74, 54), (107, 44), (111, 36)]"
89,3,"[(74, 54), (107, 44), (111, 36)]"
90,3,"[(74, 54), (107, 44), (111, 36)]"
91,2,"[(107, 44), (111, 36)]"
92,2,"[(107, 44), (111, 36)]"
93,3,"[(74, 54), (107, 44), (111, 36)]"
94,2,"[(107, 44), (111, 36)]"
95,2,"[(107, 44), (111, 36)]"
96,2,"[(107, 44), (111, 36)]"
97,2,"[(107, 44), (111, 36)]"
98,2,"[(107, 44), (111, 36)]"
99,2,"[(107, 44), (111, 36)]"
100,1,"[(107, 44)]"
101,2,"[(107, 44), (111, 36)]"
102,2,"[(107, 44), (111, 36)]"
103,2,"[(107, 44), (111, 36)]"
104,1,"[(107, 44)]"
105,2,"[(107, 44), (111, 36)]"
106,2,"[(107, 44), (111, 36)]"
107,1,"[(107, 44)]"
108,1,"[(107, 44)]"
109,1,"[(107, 44)]"
110,2,"[(107, 44), (111, 36)]"
111,2,"[(107, 44), (111, 36)]"
112,2,"[(107, 44), (111, 36)]"
113,2,"[(107, 44), (111, 36)]"
114,2,"[(107, 44), (111, 36)]"
115,2,"[(107, 44), (111, 36)]"
116,2,"[(107, 44), (111, 36)]"
117,2,"[(107, 44), (111, 36)]"
118,2,"[(107, 44), (111, 36)]"
119,1,"[(107, 44)]"
120,2,"[(107, 44), (111, 36)]"
121,2,"[(107, 44), (111, 36)]"
122,1,"[(107, 44)]"
