Conformation_ID,PSA
1,221.63
2,224.72
3,224.22
4,242.70
5,230.85
6,230.61
7,241.33
8,231.61
9,239.46
10,240.04
11,237.22
12,257.26
13,230.41
14,241.67
15,227.97
16,232.40
17,217.86
18,226.38
19,223.57
20,221.34
21,224.55
22,236.68
23,238.76
24,218.53
25,218.65
26,221.82
27,220.39
28,215.81
29,240.99
30,230.02
31,240.12
32,246.32
33,252.13
34,252.48
35,252.28
36,259.16
37,248.97
38,267.14
39,245.67
40,269.06
41,258.38
42,263.16
43,239.53
44,263.85
45,276.06
46,248.60
47,249.94
48,244.69
49,240.93
50,246.50
51,249.20
52,236.21
53,235.92
54,246.33
55,253.36
56,243.05
57,248.82
58,241.04
59,245.20
60,247.88
61,254.87
62,245.78
63,239.63
64,246.76
65,243.74
66,239.92
67,230.67
68,235.87
69,271.73
70,269.85
71,282.67
72,270.06
73,272.76
74,271.45
75,262.55
76,277.36
77,286.08
78,272.23
79,273.33
80,256.47
81,270.45
82,274.03
83,257.16
84,270.88
85,264.85
86,271.25
87,268.97
88,280.40
89,275.33
90,272.54
91,281.70
92,267.74
93,289.60
94,261.21
95,259.70
96,286.23
97,272.77
98,248.83
99,223.21
100,247.21
101,249.67
102,273.49
103,275.00
104,286.16
105,283.20
106,284.22
107,268.88
108,245.38
109,227.46
110,240.07
111,239.98
112,222.49
113,267.55
114,248.19
115,279.68
116,276.08
117,263.74
118,227.95
119,268.16
120,232.12
121,264.65
122,262.60
123,235.30
124,245.58
125,268.59
126,253.74
127,231.32
128,232.82
129,285.07
130,282.10
131,273.52
132,285.75
133,274.54
134,241.12
135,283.04
136,284.35
137,273.42
138,286.40
139,237.51
140,264.55
141,269.53
142,283.05
143,281.31
144,275.93
145,285.34
146,283.48
147,241.54
148,221.83
149,239.04
150,226.06
151,273.85
152,229.99
153,246.89
154,262.56
155,264.33
156,270.48
157,225.06
158,212.45
159,229.21
160,227.81
161,210.56
162,226.38
163,218.36
164,225.18
165,222.57
166,222.96
167,228.13
168,234.56
169,236.03
170,234.98
171,220.68
172,221.15
173,226.46
174,218.75
175,227.72
176,226.82
177,228.23
178,229.93
179,233.07
180,233.63
181,234.92
182,228.04
183,231.42
184,222.99
185,226.09
186,218.74
187,226.72
188,227.45
189,234.95
190,227.55
191,226.92
192,226.50
193,225.73
194,234.18
195,215.62
196,217.29
197,213.31
198,205.21
199,202.76
200,223.11
201,209.54
202,228.41
203,260.49
204,254.13
205,271.21
206,260.83
207,281.19
208,290.31
209,289.89
210,292.27
211,285.08
212,307.39
213,300.30
214,303.26
215,307.48
216,305.62
217,322.30
218,307.20
219,326.03
220,314.71
221,315.09
222,314.80
223,319.44
224,315.59
225,319.64
226,326.46
227,312.89
228,315.86
229,311.89
230,318.03
231,310.18
232,318.92
233,320.70
234,313.54
235,313.36
236,316.09
237,310.93
238,317.80
239,316.32
240,315.37
241,319.64
242,312.73
243,309.89
244,310.93
245,313.74
246,307.98
247,311.34
248,311.59
249,310.96
250,310.13
251,308.68
252,307.79
253,305.37
254,307.02
255,305.48
256,309.28
257,301.62
258,303.62
259,299.96
260,303.39
261,302.00
262,302.71
263,300.70
264,309.01
265,303.33
266,306.89
267,308.14
268,309.10
269,298.52
270,307.35
271,297.53
272,295.76
273,305.82
274,303.33
275,308.18
276,307.74
277,310.96
278,310.44
279,306.04
280,312.85
281,312.64
282,305.02
283,308.59
284,309.58
285,298.43
286,300.11
287,313.93
288,307.29
289,312.54
290,307.17
291,315.95
292,291.64
293,305.72
294,312.06
295,319.84
296,317.86
297,320.78
298,323.62
299,320.95
300,317.24
301,318.21
302,315.10
303,314.96
304,320.90
305,315.49
306,311.27
307,301.41
308,302.95
309,303.54
310,304.80
311,310.08
312,306.20
313,303.04
314,304.79
315,303.41
316,304.55
317,290.21
318,313.00
319,304.93
320,313.23
321,317.77
322,321.90
323,316.39
324,315.97
325,313.31
326,321.74
327,317.49
328,306.65
329,305.86
330,306.89
331,306.12
332,304.81
333,305.99
334,305.59
335,299.47
336,300.35
337,301.48
338,311.02
339,303.43
340,304.37
341,310.86
342,304.87
343,312.70
344,308.59
345,308.45
346,301.08
347,308.61
348,310.71
349,303.64
350,304.94
351,306.57
352,308.63
353,307.48
354,308.30
355,308.46
356,311.25
357,310.19
358,304.22
359,304.07
360,303.61
361,305.40
362,302.69
363,309.58
364,309.93
365,303.55
366,304.01
367,305.92
368,305.10
369,304.63
370,305.33
371,299.97
372,299.64
373,303.19
374,320.07
375,313.51
376,311.21
377,310.38
378,309.27
379,302.80
380,304.82
381,305.29
382,312.71
383,304.47
384,307.05
385,300.38
386,321.56
387,302.34
388,309.43
389,308.38
390,310.45
391,306.71
392,310.88
393,308.19
394,305.81
395,305.47
396,305.09
397,309.96
398,299.47
399,301.20
400,304.48
401,310.76
402,302.68
403,302.88
404,304.31
405,304.20
406,311.35
407,309.72
408,310.31
409,302.82
410,301.82
411,274.43
412,267.74
413,300.04
414,308.72
415,299.10
416,293.66
417,292.29
418,282.56
419,295.46
420,296.99
421,284.62
422,301.31
423,308.51
424,312.95
425,295.48
426,305.61
427,311.59
428,315.62
429,308.02
430,317.27
431,311.34
432,317.11
433,306.21
434,297.17
435,310.83
436,291.70
437,295.23
438,308.48
439,284.80
440,297.05
441,290.85
442,290.43
443,297.48
444,303.82
445,293.55
446,295.89
447,293.04
448,310.69
449,314.68
450,313.94
451,311.72
452,315.80
453,314.11
454,310.29
455,313.79
456,301.70
457,305.77
458,298.53
459,305.25
460,312.08
461,311.37
462,312.26
463,306.65
464,306.48
465,315.45
466,321.81
467,306.28
468,309.51
469,303.34
470,308.05
471,311.12
472,311.49
473,307.90
474,310.05
475,316.77
476,307.89
477,309.94
478,308.83
479,308.72
480,297.51
481,300.61
482,299.81
483,308.99
484,299.48
485,300.76
486,306.88
487,315.10
488,313.26
489,323.13
490,308.86
491,310.32
492,321.27
493,318.95
494,297.68
495,302.55
496,301.91
497,300.78
498,302.31
499,305.46
500,314.98
501,302.13
502,316.09
503,309.37
504,307.63
505,316.07
506,305.84
507,299.68
508,301.10
509,301.33
510,298.56
511,301.38
512,308.22
513,307.15
514,310.92
515,305.54
516,309.70
517,309.07
518,303.39
519,304.25
520,298.98
521,285.40
522,288.08
523,284.91
524,285.64
525,277.94
526,284.66
527,286.32
528,277.76
529,284.36
530,287.57
531,278.22
532,289.28
533,294.69
534,296.43
535,298.08
536,286.06
537,295.64
538,287.92
539,298.69
540,305.62
541,303.33
542,303.84
543,311.93
544,305.92
545,308.94
546,302.27
547,304.53
548,304.71
549,287.93
550,317.67
551,316.41
552,319.07
553,326.56
554,317.09
555,310.06
556,309.10
557,308.99
558,303.53
559,306.50
560,302.72
561,305.66
562,302.60
563,302.18
564,303.66
565,316.35
566,306.26
567,308.62
568,307.20
569,306.99
570,302.61
571,307.27
572,316.47
573,309.98
574,308.04
575,287.35
576,311.00
577,307.23
578,318.47
579,318.31
580,304.56
581,320.17
582,316.28
583,326.40
584,320.01
585,314.61
586,323.60
587,312.55
588,317.36
589,317.20
590,316.34
591,315.34
592,312.68
593,317.65
594,318.78
595,318.80
596,314.14
597,311.48
598,302.70
599,305.19
600,309.04
601,312.10
602,314.00
603,308.50
604,293.68
605,297.19
606,296.62
607,298.61
608,295.77
609,295.04
610,294.62
611,295.82
612,292.73
613,287.99
614,287.68
615,296.21
616,296.06
617,305.34
618,299.03
619,299.24
620,301.34
621,296.53
622,295.93
623,296.18
624,290.60
625,292.29
626,292.94
627,294.43
628,293.80
629,292.62
630,294.26
631,291.68
632,292.73
633,297.76
634,295.40
635,296.11
636,300.30
637,302.04
638,300.29
639,306.79
640,307.63
641,301.23
642,306.57
643,312.56
644,310.75
645,290.78
646,307.02
647,303.97
648,303.70
649,299.96
650,299.71
651,288.66
652,279.82
653,291.44
654,295.25
655,298.47
656,296.63
657,295.81
658,314.03
659,296.28
660,289.54
661,302.04
662,304.20
663,299.52
664,299.26
665,297.93
666,298.43
667,305.86
668,298.02
669,305.72
670,301.16
671,301.08
672,294.69
673,295.00
674,293.55
675,253.37
676,264.62
677,270.69
678,299.66
679,280.74
680,275.25
681,270.59
682,269.15
683,260.60
684,284.75
685,281.72
686,278.51
687,281.80
688,283.62
689,275.20
690,277.74
691,273.77
692,266.38
693,276.60
694,272.31
695,280.23
696,285.25
697,279.47
698,278.42
699,281.16
700,280.70
701,286.74
702,282.04
703,248.31
704,258.80
705,276.54
706,272.63
707,281.23
708,269.69
709,270.55
710,295.39
711,280.84
712,285.37
713,283.86
714,307.72
715,292.73
716,273.76
717,280.55
718,279.21
719,270.29
720,266.21
721,275.51
722,283.31
723,287.16
724,273.07
725,283.18
726,297.13
727,272.98
728,289.56
729,294.35
730,290.44
731,306.21
732,292.67
733,292.89
734,293.40
735,271.29
736,261.46
737,285.90
738,287.73
739,269.65
740,269.31
741,271.13
742,281.19
743,284.26
744,274.27
745,277.50
746,292.52
747,274.50
748,276.83
749,282.45
750,275.14
751,262.78
752,266.70
753,268.07
754,272.00
755,273.33
756,284.82
757,300.53
758,300.90
759,316.02
760,316.35
761,308.93
762,303.96
763,303.57
764,304.58
765,301.85
766,301.73
767,309.92
768,307.82
769,310.41
770,307.67
771,320.29
772,307.25
773,310.62
774,308.66
775,309.09
776,308.44
777,309.00
778,309.52
779,312.12
780,308.14
781,313.78
782,305.57
783,307.57
784,314.41
785,304.92
786,313.72
787,313.47
788,313.77
789,305.86
790,311.88
791,309.96
792,308.39
793,316.96
794,302.72
795,313.65
796,312.88
797,310.34
798,305.08
799,306.82
800,310.62
801,308.44
802,308.09
803,303.74
804,305.70
805,306.76
806,307.09
807,308.23
808,308.46
809,307.17
810,307.97
811,308.75
812,308.50
813,307.47
814,308.07
815,315.46
816,313.73
817,309.16
818,312.16
819,319.75
820,310.18
821,307.64
822,304.45
823,306.52
824,307.22
825,296.57
826,306.62
827,308.59
828,303.49
829,314.13
830,307.82
831,310.64
832,298.52
833,306.05
834,305.90
835,310.19
836,306.84
837,306.20
838,313.24
839,309.36
840,313.75
841,308.04
842,307.64
843,307.15
844,316.71
845,301.35
846,316.84
847,302.47
848,299.32
849,305.87
850,304.21
851,309.07
852,313.08
853,287.53
854,301.45
855,305.08
856,304.37
857,315.40
858,305.80
859,311.51
860,295.13
861,307.84
862,315.41
863,308.22
864,305.74
865,310.40
866,302.68
867,304.84
868,306.72
869,298.87
870,306.89
871,309.86
872,302.61
873,302.01
874,304.62
875,305.31
876,302.24
877,296.99
878,290.68
879,293.43
880,304.68
881,298.63
882,288.91
883,300.38
884,291.44
885,298.90
886,292.35
