Conformation_ID,Num_IMHB,IMHB_Pairs
1,2,"[(90, 39), (94, 31)]"
2,2,"[(90, 39), (94, 31)]"
3,1,"[(90, 39)]"
4,1,"[(90, 39)]"
5,1,"[(90, 39)]"
6,2,"[(90, 39), (94, 31)]"
7,1,"[(90, 39)]"
8,1,"[(90, 39)]"
9,2,"[(90, 39), (94, 31)]"
10,2,"[(90, 39), (94, 31)]"
11,2,"[(90, 39), (94, 31)]"
12,2,"[(90, 39), (94, 31)]"
13,2,"[(90, 39), (94, 31)]"
14,2,"[(90, 39), (94, 31)]"
15,2,"[(90, 39), (94, 31)]"
16,2,"[(90, 39), (94, 31)]"
17,2,"[(90, 39), (94, 31)]"
18,2,"[(90, 39), (94, 31)]"
19,2,"[(90, 39), (94, 31)]"
20,2,"[(90, 39), (94, 31)]"
21,2,"[(90, 39), (94, 31)]"
22,2,"[(90, 39), (94, 31)]"
23,2,"[(90, 39), (94, 31)]"
24,2,"[(90, 39), (94, 31)]"
25,2,"[(90, 39), (94, 31)]"
26,2,"[(90, 39), (94, 31)]"
27,2,"[(90, 39), (94, 31)]"
28,2,"[(90, 39), (94, 31)]"
29,2,"[(90, 39), (94, 31)]"
30,2,"[(90, 39), (94, 31)]"
31,2,"[(90, 39), (94, 31)]"
32,2,"[(90, 39), (94, 31)]"
33,2,"[(90, 39), (94, 31)]"
34,2,"[(90, 39), (94, 31)]"
35,2,"[(90, 39), (94, 31)]"
36,2,"[(90, 39), (94, 31)]"
37,2,"[(90, 39), (94, 31)]"
38,2,"[(90, 39), (94, 31)]"
39,2,"[(90, 39), (94, 31)]"
40,2,"[(90, 39), (94, 31)]"
41,2,"[(90, 39), (94, 31)]"
42,2,"[(90, 39), (94, 31)]"
43,2,"[(90, 39), (94, 31)]"
44,2,"[(90, 39), (94, 31)]"
45,2,"[(90, 39), (94, 31)]"
46,2,"[(90, 39), (94, 31)]"
47,2,"[(90, 39), (94, 31)]"
48,2,"[(90, 39), (94, 31)]"
49,2,"[(90, 39), (94, 31)]"
50,2,"[(90, 39), (94, 31)]"
51,2,"[(90, 39), (94, 31)]"
52,2,"[(90, 39), (94, 31)]"
53,2,"[(90, 39), (94, 31)]"
54,2,"[(90, 39), (94, 31)]"
55,2,"[(90, 39), (94, 31)]"
56,2,"[(90, 39), (94, 31)]"
57,2,"[(90, 39), (94, 31)]"
58,2,"[(90, 39), (94, 31)]"
59,2,"[(90, 39), (94, 31)]"
60,2,"[(90, 39), (94, 31)]"
61,2,"[(90, 39), (94, 31)]"
62,2,"[(90, 39), (94, 31)]"
63,2,"[(90, 39), (94, 31)]"
64,2,"[(90, 39), (94, 31)]"
65,2,"[(90, 39), (94, 31)]"
66,2,"[(90, 39), (94, 31)]"
67,2,"[(90, 39), (94, 31)]"
68,2,"[(90, 39), (94, 31)]"
69,2,"[(90, 39), (94, 31)]"
70,2,"[(90, 39), (94, 31)]"
71,2,"[(90, 39), (94, 31)]"
72,2,"[(90, 39), (94, 31)]"
73,2,"[(90, 39), (94, 31)]"
74,2,"[(90, 39), (94, 31)]"
75,2,"[(90, 39), (94, 31)]"
76,2,"[(90, 39), (94, 31)]"
77,2,"[(90, 39), (94, 31)]"
78,2,"[(90, 39), (94, 31)]"
79,2,"[(90, 39), (94, 31)]"
80,2,"[(90, 39), (94, 31)]"
81,2,"[(90, 39), (94, 31)]"
82,2,"[(90, 39), (94, 31)]"
83,2,"[(90, 39), (94, 31)]"
84,2,"[(90, 39), (94, 31)]"
85,2,"[(90, 39), (94, 31)]"
86,2,"[(90, 39), (94, 31)]"
87,2,"[(90, 39), (94, 31)]"
88,2,"[(90, 39), (94, 31)]"
89,1,"[(94, 31)]"
90,2,"[(90, 39), (94, 31)]"
91,2,"[(90, 39), (94, 31)]"
92,2,"[(90, 39), (94, 31)]"
93,2,"[(90, 39), (94, 31)]"
94,2,"[(90, 39), (94, 31)]"
95,2,"[(90, 39), (94, 31)]"
96,2,"[(90, 39), (94, 31)]"
97,2,"[(90, 39), (94, 31)]"
98,2,"[(90, 39), (94, 31)]"
99,2,"[(90, 39), (94, 31)]"
100,2,"[(90, 39), (94, 31)]"
