Conformation_ID,PSA
1,247.31
2,238.08
3,231.14
4,253.85
5,259.80
6,249.08
7,224.96
8,214.82
9,238.90
10,235.42
11,241.75
12,234.44
13,223.82
14,231.43
15,248.39
16,241.34
17,242.78
18,222.04
19,239.90
20,236.23
21,245.74
22,250.34
23,241.13
24,235.86
25,246.84
26,247.76
27,237.35
28,232.22
29,236.39
30,253.17
31,236.24
32,237.23
33,235.55
34,239.27
35,239.94
36,254.19
37,259.19
38,247.67
39,245.95
40,232.85
41,224.52
42,235.82
43,240.96
44,232.81
45,231.67
46,253.82
47,248.35
48,212.17
49,235.47
50,252.73
51,245.72
52,234.05
53,233.49
54,249.72
55,245.13
56,238.78
57,246.09
58,245.73
59,240.06
60,248.62
61,247.94
62,237.54
63,249.74
64,245.94
65,246.35
66,246.87
67,241.98
68,244.59
69,244.74
70,233.98
71,246.02
72,247.14
73,247.45
74,245.92
75,236.69
76,238.75
77,240.89
78,245.88
79,254.20
80,233.66
81,215.59
82,255.03
83,246.89
84,248.76
85,242.56
86,243.34
87,243.89
88,243.07
89,244.44
90,244.05
91,239.02
92,264.84
93,244.98
94,238.68
95,243.69
96,249.64
97,233.70
98,258.79
99,250.17
100,246.24
101,250.67
102,247.52
103,242.10
104,246.90
105,242.85
106,245.48
107,257.90
108,251.83
109,259.29
110,255.57
111,240.46
112,240.86
113,240.19
114,248.40
115,251.11
116,257.75
117,238.55
118,265.43
119,252.42
120,250.12
121,241.11
122,237.64
123,236.12
124,248.77
125,239.49
126,190.58
127,198.37
128,190.66
129,213.91
130,197.54
131,210.24
132,200.88
133,207.42
134,209.81
135,203.95
136,176.55
137,199.11
138,199.52
139,200.36
140,208.20
141,192.90
142,215.79
143,214.44
144,199.92
145,208.21
146,203.24
147,150.99
148,210.33
149,190.85
150,212.62
151,204.55
152,201.71
153,220.89
154,166.20
155,174.25
156,185.06
157,177.76
158,174.38
159,162.84
160,197.64
161,149.40
162,222.22
163,160.79
164,147.98
165,149.09
166,185.73
167,145.40
168,150.49
169,184.08
170,143.25
171,168.63
172,180.00
173,232.88
174,162.10
175,159.55
176,165.37
177,148.57
178,151.06
179,152.44
180,157.70
181,150.07
182,151.32
183,164.97
184,205.86
185,178.63
186,145.45
187,156.98
188,166.52
189,159.97
190,168.04
191,183.79
192,194.12
193,201.25
194,202.86
195,201.27
196,206.09
197,179.66
198,199.30
199,188.75
200,191.06
201,196.88
202,189.11
203,183.00
204,180.49
205,175.24
206,189.00
207,179.34
208,181.95
209,156.18
210,164.71
211,161.73
212,189.08
213,181.34
214,176.84
215,173.79
216,164.48
217,176.41
218,192.31
219,180.42
220,200.31
221,199.67
222,189.16
223,174.70
224,189.18
225,187.71
226,174.50
227,186.02
228,176.97
229,181.41
230,200.06
231,196.81
232,188.71
233,184.43
234,200.84
235,206.07
236,208.35
237,200.46
238,208.95
239,181.84
240,198.73
241,213.99
242,200.29
243,228.93
244,197.10
245,199.77
246,214.57
247,209.50
248,201.88
249,199.02
250,183.82
251,204.14
252,204.16
253,198.77
254,218.78
255,210.44
256,219.46
257,206.24
258,187.27
259,189.24
260,196.00
261,199.91
262,184.91
263,196.60
264,174.51
265,192.04
266,203.45
267,200.55
268,183.08
269,189.32
270,203.22
271,207.24
272,196.72
273,183.71
274,190.69
275,192.86
276,209.35
277,198.74
278,195.83
279,207.56
280,204.88
281,205.62
282,217.03
283,206.22
284,225.27
285,204.88
286,205.32
287,205.31
288,199.51
289,185.39
290,189.62
291,201.83
292,187.87
293,207.07
294,201.24
295,192.32
296,193.08
297,199.51
298,206.04
299,205.62
300,183.18
301,201.88
302,208.74
303,189.97
304,201.71
305,191.96
306,202.26
307,195.66
308,187.98
309,214.85
310,195.01
311,201.79
312,192.93
313,192.60
314,208.65
315,207.28
316,203.17
317,219.03
318,214.44
319,209.04
320,209.79
321,190.64
322,199.36
323,199.07
324,205.85
325,195.47
326,209.46
327,189.45
328,195.76
329,190.45
330,209.47
331,206.82
332,199.43
333,200.80
334,196.53
335,192.14
336,192.82
337,208.98
338,199.70
339,223.76
340,185.41
341,185.77
342,208.68
343,182.34
344,193.94
345,198.78
346,201.61
347,193.98
348,188.96
349,197.09
350,209.83
351,186.40
352,193.94
353,227.61
354,203.60
355,195.00
356,209.20
357,209.43
358,187.53
359,196.44
360,179.70
361,210.03
362,194.80
363,200.57
364,216.11
365,198.07
366,195.48
367,210.73
368,200.75
369,207.80
370,192.34
371,221.56
372,214.11
373,185.93
374,200.44
375,204.91
376,199.09
377,190.45
378,182.91
379,198.51
380,182.47
381,182.25
382,185.59
383,189.31
384,197.96
385,193.72
386,193.67
387,180.87
388,176.33
389,200.44
390,186.92
391,186.68
392,195.20
393,196.58
394,184.63
395,183.92
396,183.97
397,193.48
398,175.72
399,187.79
400,174.49
401,207.47
402,203.14
403,196.30
404,195.23
405,195.09
406,196.11
407,197.82
408,198.10
409,208.90
410,190.01
411,202.31
412,199.91
413,207.26
414,205.15
415,191.50
416,195.36
417,193.78
418,202.56
419,200.42
420,195.87
421,200.29
422,198.58
423,195.70
424,198.77
425,191.24
426,189.67
427,188.85
428,200.91
429,179.62
430,192.20
431,210.74
432,195.89
433,205.60
434,192.21
435,195.61
436,176.78
437,197.22
438,198.49
439,203.22
440,195.55
441,192.27
442,201.47
443,184.78
444,195.67
445,209.20
446,193.24
447,186.93
448,189.11
449,179.38
450,195.94
451,196.72
452,186.50
453,190.59
454,192.32
455,187.70
456,211.41
457,188.80
458,190.85
459,179.47
460,182.99
461,192.66
462,188.91
463,192.96
464,199.10
465,200.80
466,209.02
467,192.58
468,185.36
469,197.51
470,197.37
471,176.78
472,202.47
473,188.45
474,176.67
475,175.77
476,184.15
477,177.37
478,200.76
479,189.64
480,178.76
481,158.69
482,185.80
483,154.63
484,164.18
485,170.52
486,177.58
487,187.81
488,198.44
489,187.81
490,182.91
491,224.99
492,211.51
493,209.32
494,205.14
495,221.81
496,205.20
497,196.70
498,203.60
499,204.88
500,199.45
501,233.63
502,210.75
503,217.77
504,204.81
505,202.82
506,198.48
507,193.67
508,198.02
509,194.70
510,213.08
511,209.40
512,204.31
513,200.49
514,194.08
515,195.12
516,204.25
517,200.57
518,197.84
519,194.43
520,186.58
521,185.56
522,192.55
523,187.15
524,209.33
525,201.74
526,207.10
527,206.61
528,210.88
529,199.46
530,206.95
531,216.70
532,220.75
533,207.29
534,220.97
535,216.91
536,185.35
537,204.50
538,204.85
539,203.95
540,203.34
541,199.33
542,195.58
543,208.18
544,210.38
545,213.49
546,187.91
547,199.79
548,196.17
549,173.77
550,195.54
551,197.51
552,175.67
553,186.75
554,182.20
555,189.44
556,179.08
557,194.93
558,186.31
559,189.43
560,201.33
561,193.10
562,206.12
563,192.70
564,199.51
565,207.44
566,199.69
567,189.40
568,188.20
569,194.07
570,203.48
571,198.08
572,194.23
573,192.49
574,191.73
575,183.86
576,185.87
577,184.90
578,209.57
579,185.25
580,179.20
581,197.53
582,185.13
583,189.02
584,204.76
585,202.12
586,206.02
587,200.95
588,218.06
589,221.02
590,219.69
591,210.45
592,201.07
593,203.48
594,208.05
595,219.07
596,210.46
597,207.40
598,202.19
599,202.24
600,208.88
601,210.53
602,210.31
603,199.07
604,213.46
605,200.62
606,194.46
607,200.15
608,222.38
609,213.59
610,215.69
611,225.01
612,209.71
613,211.45
614,183.23
615,217.81
616,226.27
617,219.30
618,216.12
619,224.34
620,210.60
621,217.04
622,211.11
623,215.59
624,250.76
625,199.42
626,209.15
627,203.61
628,211.31
629,208.03
630,204.88
631,217.52
632,224.44
633,197.05
634,205.53
635,204.92
636,214.88
637,190.21
638,200.36
639,208.34
640,200.17
641,191.68
642,208.84
643,213.34
644,217.36
645,207.23
646,202.43
647,206.03
648,210.56
649,202.49
650,211.87
651,194.44
652,200.19
653,209.74
654,216.72
655,209.18
656,211.33
657,202.85
658,204.34
659,193.64
660,182.95
661,207.15
662,209.32
663,206.39
664,212.42
665,206.60
666,207.34
667,211.30
668,209.05
669,206.51
670,203.27
671,213.21
672,203.52
673,205.48
674,204.32
675,209.45
676,213.29
677,211.62
678,212.57
679,203.26
680,212.96
681,218.96
682,208.92
683,216.13
684,209.88
685,194.16
686,196.86
687,206.97
688,201.96
689,201.04
690,213.05
691,207.57
692,204.91
693,213.06
694,199.62
695,201.84
696,210.30
697,200.94
698,203.51
699,203.02
700,225.42
701,201.29
702,188.18
703,196.34
704,207.93
705,207.71
706,204.64
707,208.95
708,212.92
709,201.15
710,200.59
711,208.35
712,206.40
713,213.79
714,204.31
715,205.35
716,211.21
717,206.87
718,197.90
719,199.65
720,197.08
721,205.10
722,190.86
723,199.33
724,208.24
725,206.18
726,207.61
727,203.23
728,204.46
729,206.30
730,204.96
731,195.35
732,208.64
733,199.11
734,203.53
735,205.57
736,201.74
737,196.64
738,193.97
739,205.48
740,210.34
741,204.94
742,212.77
743,216.43
744,208.04
745,202.60
746,204.19
747,203.72
748,197.39
749,211.87
750,211.36
751,202.49
752,208.41
753,209.21
754,208.54
755,211.81
756,207.07
757,215.50
758,206.61
759,212.36
760,213.00
761,205.25
762,219.27
763,204.45
764,207.47
765,197.63
766,208.39
767,205.29
768,200.26
769,209.12
770,204.15
771,201.55
772,206.31
773,211.52
774,210.22
775,206.38
776,205.77
777,204.60
778,202.99
779,206.35
780,208.34
781,198.72
782,212.28
783,197.94
784,197.91
785,191.99
786,193.99
787,203.92
788,190.58
789,192.57
790,194.72
791,200.01
792,207.30
793,199.92
794,204.09
795,209.17
796,206.58
797,201.29
798,200.60
799,218.83
800,211.36
801,222.04
802,220.52
803,217.52
804,219.09
805,216.60
806,216.07
807,214.85
808,222.25
809,200.90
810,221.81
811,217.58
812,221.66
813,207.85
814,208.69
815,219.38
816,217.39
817,217.89
818,214.66
819,221.91
820,216.47
821,203.18
822,227.24
823,213.96
824,217.39
825,215.65
826,228.98
827,200.99
828,202.52
829,202.63
830,206.95
831,202.80
832,190.03
833,197.63
834,192.70
835,189.31
836,202.68
837,218.58
838,207.99
839,221.53
840,203.33
841,218.51
842,201.06
843,193.15
844,202.53
845,203.01
846,207.26
847,217.78
848,202.24
849,201.41
850,196.21
851,214.55
852,200.94
853,183.28
854,214.24
855,206.86
856,212.79
857,206.15
858,196.74
859,208.03
860,208.58
861,205.08
862,207.57
863,211.89
864,200.78
865,206.14
866,206.52
867,219.58
868,203.97
869,198.26
870,191.31
871,206.48
872,205.05
873,211.86
874,212.16
875,201.01
876,203.04
877,205.57
878,194.56
879,200.06
880,190.69
881,197.91
882,187.35
883,218.44
884,214.53
885,206.84
886,207.03
887,190.71
888,213.86
889,209.94
890,193.51
891,207.95
892,188.68
893,208.63
894,207.84
895,201.42
896,214.00
897,206.02
898,202.75
899,202.26
900,221.98
901,212.72
902,208.26
903,209.16
904,206.02
905,196.72
906,194.72
907,212.97
908,204.59
909,199.71
910,199.64
911,210.52
912,185.49
913,204.47
914,203.92
915,203.13
916,193.49
917,191.78
918,204.24
919,194.39
920,207.85
921,193.93
922,214.45
923,193.71
924,204.52
925,204.90
926,204.64
927,207.60
928,207.25
929,198.64
930,204.42
931,197.53
932,203.86
933,200.64
934,203.48
935,197.05
936,199.25
937,199.00
938,214.94
939,199.07
940,192.53
941,195.20
942,194.58
943,192.67
944,194.05
945,195.03
946,193.22
947,189.56
948,195.68
949,192.08
950,182.14
951,202.53
952,194.89
953,190.12
954,198.13
955,199.50
956,205.86
957,196.21
958,182.92
959,205.22
960,196.48
961,197.02
962,194.88
963,199.54
964,194.14
965,196.76
966,197.69
967,202.21
968,201.58
969,196.97
970,189.22
971,196.41
972,192.65
973,190.43
974,193.16
975,194.82
976,194.92
977,199.94
978,202.28
979,200.77
980,195.14
981,197.20
982,197.49
983,195.30
984,197.84
985,208.60
986,184.73
987,205.80
988,216.33
989,207.45
990,208.82
991,204.62
992,197.01
993,197.92
994,201.12
995,196.57
996,203.60
997,189.12
998,204.13
999,203.16
1000,204.32
1001,212.24
1002,211.26
1003,209.12
1004,206.20
1005,200.75
1006,203.45
1007,210.29
1008,203.81
1009,204.69
1010,192.98
1011,197.72
1012,200.59
1013,201.45
1014,197.94
1015,193.87
1016,193.98
1017,196.03
1018,202.62
1019,189.36
1020,198.16
1021,191.49
1022,210.65
1023,198.93
1024,200.85
1025,205.61
1026,204.75
1027,203.37
1028,198.98
1029,217.31
1030,206.91
1031,196.35
1032,196.80
1033,208.96
1034,204.65
1035,211.44
1036,198.46
1037,206.30
1038,215.44
1039,203.24
1040,223.27
1041,212.89
1042,211.70
1043,210.70
1044,202.19
1045,204.41
1046,203.19
1047,207.38
1048,206.64
1049,195.34
1050,203.02
1051,204.87
1052,199.49
1053,194.58
1054,195.80
1055,192.69
1056,202.18
1057,200.98
1058,199.61
1059,195.91
1060,195.68
1061,199.90
1062,199.53
1063,194.49
1064,196.79
1065,197.09
1066,204.83
1067,204.31
1068,197.11
1069,199.45
1070,204.34
1071,192.91
1072,199.92
1073,202.55
1074,199.21
1075,193.55
1076,198.70
1077,196.79
1078,201.40
1079,205.53
1080,193.79
1081,199.16
1082,189.48
1083,198.86
1084,210.02
1085,206.52
1086,196.42
1087,201.24
1088,193.33
1089,211.05
1090,216.80
1091,219.28
1092,201.50
1093,207.16
1094,210.11
1095,205.93
1096,210.77
1097,210.60
1098,207.01
1099,215.23
1100,203.07
1101,204.58
1102,199.55
1103,188.75
1104,201.47
1105,218.01
1106,215.97
1107,199.49
1108,188.86
1109,199.51
1110,199.52
1111,203.29
1112,203.84
1113,206.23
1114,197.49
1115,203.48
1116,200.16
1117,202.14
1118,202.32
1119,197.87
1120,202.97
1121,205.85
1122,207.39
1123,206.14
1124,207.70
1125,187.13
1126,202.31
1127,208.18
1128,205.48
1129,207.02
1130,193.55
1131,194.58
1132,198.52
1133,195.73
1134,197.77
1135,202.52
1136,198.81
1137,205.19
1138,211.02
1139,213.53
1140,208.75
1141,212.29
1142,206.17
1143,200.07
1144,210.91
1145,198.60
1146,198.11
1147,202.44
1148,204.29
1149,207.09
1150,206.09
1151,204.16
1152,193.62
1153,198.31
1154,204.07
1155,199.66
1156,202.31
1157,207.31
1158,206.67
1159,201.93
1160,203.30
1161,196.01
1162,203.54
1163,207.33
1164,205.04
1165,211.92
1166,206.00
1167,208.12
1168,204.44
1169,196.95
1170,209.10
1171,210.59
1172,193.67
1173,195.13
1174,192.52
1175,200.86
1176,195.85
1177,204.41
1178,206.41
1179,198.07
1180,191.45
1181,193.25
1182,190.79
1183,197.02
1184,196.34
1185,197.73
1186,194.80
1187,204.11
1188,197.27
1189,197.47
1190,229.33
1191,227.51
1192,226.55
1193,194.64
1194,200.12
1195,197.72
1196,209.35
1197,216.59
1198,189.13
1199,203.13
1200,198.39
1201,201.37
1202,201.18
1203,199.35
1204,204.15
1205,203.41
