Split,R2,RMSE,Pearson_r,Pearson_r2,ExplainedVariance
1,-0.3257077459003541,0.8113472922783583,0.1550927666225177,0.02405376625862674,-0.03213690422707516
2,-1.1204791768986073,0.8141378937501043,-0.06769857013796257,0.0045830963987246376,-0.903394906630264
3,-0.29481496204146596,0.6080902053029954,-0.03507796041387093,0.001230463306797096,-0.2939406638710713
4,-1.0697411638156527,0.6692006116117435,-0.24011343055554682,0.05765445953315341,-0.7261155062562497
5,-1.681883063656945,0.8050330903267899,-0.30587393619059355,0.0935588648407273,-1.066618837126439
6,-0.5305577247248516,0.7200141310894699,0.2906981381715496,0.08450540753640534,-0.38386321354221997
7,-0.8583314960203625,0.7097094700329192,-0.1687737998995437,0.028484595532531215,-0.36103501350639955
8,-0.30872947660593075,0.8109405525446596,-0.38426098526116714,0.14765650479388293,-0.30445217978299977
9,-0.953329047709353,0.8353206923258667,-0.032555927233915954,0.0010598883980600306,-0.8118417421121493
10,-0.9625893447789438,0.7563829232389682,-0.16342515402010008,0.02670778096649343,-0.47447565557602633
11,-0.3689751009318849,0.6501970777415274,-0.03287897925404784,0.0010810272767881083,-0.30055483981486875
12,0.05967275182914622,0.6556552958625788,0.2795306341461907,0.07813737542617152,0.07759960051675374
13,-0.708649483087197,0.5247589643283972,0.28160254367888055,0.07929999260641582,-0.2886874455749595
14,-0.395390254121637,0.6880379645410507,0.08213012490852765,0.006745357417490354,-0.2564592247085391
15,0.09999205341224326,0.6149495888380998,0.3228045968842474,0.10420280776960146,0.1024326430572482
16,-0.5748720325951715,0.7547811697591872,0.3707314083353403,0.13744177712630481,0.10132551316457872
17,-3.2674046943201995,0.7014123058846817,-0.15272278023202301,0.0233242476017988,-1.375098516698566
18,0.09068634101352457,0.493212309626781,0.3735522872508088,0.13954131131031078,0.10740827279011667
19,-1.2440736277472877,0.8004420734313846,-0.18119977817720262,0.03283335961146743,-0.9846375278236854
20,0.005421782428961852,0.6903773447582964,0.18209386785283826,0.033158176709606926,0.005489536484367785
21,-0.9622709136489647,0.9188160619641715,-0.7395857813029547,0.546987127905502,-0.8661085444901329
22,-0.21101200219253036,0.6984141495132375,0.08137533747556759,0.006621945549262515,-0.21078787546560074
23,-0.2831564477884607,0.8196012554051627,0.017933432558788695,0.00032160800334062246,-0.040777262492698085
24,-0.5800630138329712,0.7001301027606269,-0.1147043152347394,0.013157079933470468,-0.23324421160638664
25,-0.5874647753706554,0.8371271191139347,-0.019495405352932788,0.0003800708298751604,-0.2263801448426428
26,-0.3064459655287761,0.8107343430531561,-0.13643856231516702,0.018615481286629713,-0.272360178350987
27,0.037274158756819276,0.5543487392627411,0.2725938291320836,0.07430739568089158,0.04725546859991292
28,-0.9594545866846054,0.7163267416409803,-0.06159630814893287,0.0037941051775782935,-0.9286561403487104
29,-0.28924270598336443,0.5707047974344222,0.1310337882540371,0.017169853664203833,-0.27323669335571976
30,-0.3301813309092283,0.7885925951720907,-0.020757339323406558,0.00043086713578704023,-0.3260083398403635
31,-0.6157761188675086,0.8098677708056861,-0.06506953020009319,0.00423404376046084,-0.08504011363300656
32,-0.663623471826285,0.5681874786983291,-0.13263009433738518,0.017590741923943692,-0.5510127862050727
33,-0.7685314881127043,0.7946746615374264,-0.2582791470593634,0.06670811780571226,-0.6589396038502311
34,-0.5599623891746279,0.7663382966622941,0.24106225732738204,0.05811101190777296,0.05359794384407379
35,-1.2824588143063216,0.68251449107505,-0.1436211583189409,0.020627037116874285,-1.282371421649954
36,-1.4905610011129706,0.7371288472833001,0.2194309377897974,0.04814993645930993,-0.8862997885267796
37,-0.10612053070936911,0.6004858647506358,-0.0043989257095404175,1.9350547398055665e-05,-0.10408376429945765
38,-0.45414521596688173,0.6606303951746807,-0.17457555724755378,0.030476625188293926,-0.25261428454063606
39,-0.1848764360048163,0.7636753023773133,-0.2621943626340752,0.06874588379708893,-0.1510672586196251
40,-0.15205570695439263,0.8025735618555971,-0.010308930838234004,0.00010627405502749204,-0.13901809068458526
41,-1.00386700325455,0.8542121053968776,-0.1598686475630713,0.0255579844736455,-0.9649818808952262
42,-0.4483615886998604,0.7317097516075547,-0.008726759878234576,7.615633797236476e-05,-0.3571105719530294
43,-1.1072761403070657,0.6438430355573168,0.0643968105037791,0.004146949203059635,-0.891443970385573
44,-1.4572237690895444,1.170673014935266,-0.356268036427386,0.12692691377982526,-1.1708439579986152
45,0.3599844186850333,0.4638208281461841,0.6442510329749409,0.4150593934892784,0.40475813150760986
46,-0.17149741800022178,0.7828640922507769,0.24980263918956577,0.06240135854607238,0.05936469130718258
47,-1.1908042656612312,0.7224271492670693,-0.2185496978935441,0.047763970449359386,-1.1858839233200946
48,-0.19222774487385097,0.6770084165613464,0.22217298765631063,0.049360836444131154,-0.007728691938227339
49,-0.6315399222837748,0.6844304877205493,-0.009263553939185626,8.581343158420152e-05,-0.26126501268951885
50,-0.0011335164605879022,0.6389586378757649,0.35981095138018654,0.12946392073311497,0.12064071274548205
51,-1.0517250771004845,0.8100667101842716,-0.28011929769919575,0.07846682094349065,-0.9842803040292225
52,-0.5732938306649167,0.8120253508813662,0.12645309578435107,0.015990385433446268,-0.010633119113584666
53,-0.5857528510117556,0.8724974420496782,-0.29673270138998964,0.08805029607420076,-0.5849452858331601
54,-0.5209593795303509,0.644153766487314,-0.46372505115799245,0.2150409230714827,-0.5119714942482949
55,-1.2570859473973797,0.819097356904259,-0.10792834930062711,0.011648528582758177,-0.694978276959269
56,-0.07909335622645997,0.4127473022602306,0.36450096396709986,0.13286095273294501,-0.07554850800432078
57,-0.49245333975608085,0.6513037337380627,0.024750203399669657,0.0006125725683250195,-0.45029359231829047
58,-0.7224116592598251,0.7744274483571063,-0.3087337511610705,0.0953165291059858,-0.7050675753334144
59,-1.0485272277747208,0.8223288458241199,-0.3545037537832869,0.1256729114464413,-0.6817592560857102
60,-0.0729025730152646,0.732504123543861,-0.020923519829224135,0.0004377936820439356,-0.07274044947928626
61,-1.7176238005119844,0.6722306536071101,0.16744275786407123,0.028037077161125988,-0.7841661447507093
62,-0.22808364891932342,0.8046501337658057,-0.06794968277928415,0.004617159389805345,-0.1096284586896108
63,-1.2689441697185737,0.7458181856557315,-0.2096937825144371,0.043971482425212045,-0.9840767983694731
64,-0.91519033564246,0.5951782594428526,0.1792973068005666,0.03214752422593651,-0.5328263426850866
65,-0.5984547619923417,0.8485800085782211,-0.12663499379591556,0.01603642165369157,-0.21606410725541214
66,-0.24160998364420094,0.7064121474174577,-0.0007586657259418261,5.75573683718838e-07,-0.23808613649655586
67,0.06756407125091601,0.7424408484856894,0.28428188739572335,0.08081619150127474,0.07109486973243262
68,0.2136333096580969,0.6252984574630374,0.5022701218888698,0.2522752753422601,0.2522001569504734
69,-2.8786116851905037,0.8648574373361188,-0.029645246059663205,0.0008788406139379768,-1.5132682097692949
70,-0.4099836180170604,0.8127926683043608,0.21696653855033288,0.04707447885051308,-0.029090768683756263
71,-0.556750066045812,0.6135004397537546,0.011862632063573748,0.00014072203947572797,-0.4981550992017991
72,-0.29427853019108396,0.712282930521106,0.13838000600875575,0.019149026062983278,-0.007098190207744937
73,-0.5814150165227554,0.8378898402201652,-0.4552472635996507,0.20725007101496984,-0.2998941637735246
74,-0.3713269172875935,0.6155560051562279,-0.09603606763753202,0.009222926287280624,-0.24158556361928962
75,-0.2853952286515089,0.7082556707091306,-0.2483921264092244,0.06169864846209611,-0.24977178989580584
76,-1.4096822025632259,0.65988016906233,-0.06561449206480374,0.0043052615689221935,-1.2497053978976682
77,-0.12906484571788002,0.7847189950978725,-0.03853309069774942,0.0014847990787209828,-0.1247539343300339
78,0.0498059840149403,0.654563365810988,0.32164961947315285,0.10345847770722402,0.05875922051301652
79,-0.6372408430393572,0.8153019127207866,-0.010576401722446449,0.00011186027339456822,-0.1689509785905794
80,-0.7568289385982077,0.6174051525549917,0.07938743136393422,0.006302364258563367,-0.6716303114996889
81,-0.08104956870811897,0.6731717344063766,0.2867407016312682,0.08222022997199196,0.08181156144314705
82,0.0298443032286847,0.6574846728578095,0.20823399772411216,0.04336139780816555,0.0336713351661706
83,-0.10117818821096902,0.7027795409679097,0.1355817548829871,0.018382412257150395,-0.043600119861106235
84,-0.13647485842855933,0.6389705576318285,0.2534631349931127,0.06424356080053686,0.02497470635033816
85,-0.05311104069640793,0.7983143833322637,-0.02998547860283543,0.0008991289270411015,-0.04907484653785432
86,-0.9125142577420218,0.7390890944826358,-0.4874674093979763,0.23762447522517421,-0.7501303224044034
87,-1.28733230824374,0.8560670199066424,-0.38305129613882805,0.14672829547363614,-1.2849747645792209
88,-0.8234710996460619,0.6982077723418595,-0.2574692456274898,0.06629041244398867,-0.8187995749292336
89,0.10953293906635497,0.6603109706367922,0.5136557163253028,0.26384219491365996,0.2466810707567645
90,-1.4219802686165663,0.9561401042864042,-0.4810041825378131,0.2313650236188698,-0.8522932109273742
91,-0.05231874794892066,0.7662715156399358,0.21652764481885306,0.04688422097079938,0.043721319645143475
92,-0.037981535144153256,0.5929482553360915,0.34630207273157754,0.11992512557818683,0.07598222197957161
93,-0.5298114419419153,0.6000360991477343,-0.09808842874347111,0.00962133985336301,-0.525491050421985
94,-0.19233547699828768,0.631780271726475,0.16538869755654584,0.02735342127945059,0.006561269679706938
95,-0.25955833680438123,0.8557348516189547,-0.27743225105318503,0.07696865392443748,-0.1893541127745031
96,-1.0055749630445758,0.7776933707428356,-0.05535165638290711,0.0030638058643314213,-0.8270503927406121
97,-0.702019768827798,0.7641185621783881,0.03867531650110586,0.0014957801064607113,-0.501551956371342
98,-7.204040284681847,1.1341146955182926,-0.5997705096288397,0.3597246642204381,-3.227278025337644
99,-0.5422745480937914,0.6492242488170382,-0.031247005635809927,0.0009763753612043373,-0.46445970366663514
100,-0.08379433843248418,0.6262945364048619,0.010736619577739248,0.00011527499995709371,-0.06860982230269186
