Split,Ensemble_Average_PSA_Chloroform_ANI,Ensemble_Average_Num_IMHB_Chloroform_ANI,Ensemble_Average_RadiusOfGyration_Chloroform_ANI
1,-0.0042235064341623494,-0.13737601097226815,0.8748285598849298
2,0.13203540463518998,0.020688475297163444,0.7727620543528071
3,0.016445103644034353,0.03665859566129098,0.3466547327082012
4,0.12434579710186722,0.03615349611420023,0.8277757490711867
5,0.17347830888254967,-0.1965554853591069,-0.18083032480059935
6,-0.055388610750173706,-0.09756226033982943,0.4041041760679729
7,0.043180404594270104,0.06694555032447373,0.6075014794168039
8,0.041689937054114765,-0.07396439420970939,0.3277981411483762
9,0.057651576337895416,0.002617954544212242,0.24177934685252098
10,0.18092886721216356,-0.009077565000708655,0.6817177199379783
11,0.0855007757270605,0.0012125793438853005,0.7250469538208805
12,0.20369636677516603,0.021144965548241655,0.2946717889793902
13,-0.029838269234717052,-0.018578995244507936,0.2575331544171386
14,-0.02177138433535377,-0.2241721883589823,0.5180264060522349
15,-0.3970490536294874,-0.3357229335349104,0.5538429992878489
16,0.20314604181549772,-0.043849494198206586,0.03159030891724142
17,-0.00861758473955312,-0.03896108259720157,0.09572279277757587
18,0.09770467212305027,-0.11600385089576679,0.4296107068843559
19,0.05857220969737507,0.036169136080955525,0.8279214907985482
20,0.20100800600336388,-0.06150187789354135,0.7238885218943836
21,0.27050142922310966,-0.2621395319585944,0.10377119415451323
22,0.12662835219088983,0.054657608401271186,0.3411061998730496
23,0.016633377619033808,0.038676655574257354,0.6223972819437457
24,-0.11760291212647771,0.004480401191729755,0.3067190760871799
25,-0.061502474769839055,-0.088004720145212,0.6075175864113866
26,-0.005336564314337056,-0.047035499009794035,0.26676329864036485
27,0.14870511116719176,0.0809200098229381,0.6728776040944914
28,-0.028281311038626654,-0.07938614128673344,0.2568012993099601
29,0.23227090750884266,0.24685344363346387,0.29033232046964647
30,0.019136503144822424,0.14910568649505235,0.5210695368474826
31,0.052651652696061924,-0.05691496791483942,0.25009387018504997
32,0.018522321481582872,0.08559160194809191,0.3264140835028061
33,0.0090139200011912,0.11184569111150902,0.29242868590052096
34,0.24454292349833096,0.2450457117461578,0.449221442484898
35,0.12232903784776608,-0.016834800587609566,0.7064717204289706
36,0.11018785100262743,-0.15943201434060586,0.07280311648875562
37,-0.0014799977441909639,-0.030721000516104335,0.6738552529242756
38,-0.03305044434005857,-0.054972548600045135,0.3578201283469505
39,0.24567760373034928,0.062240135129962494,0.2576279684652686
40,-0.046143560311500464,-0.011384618836427518,0.3512530121076375
41,0.0715895966800492,-0.04499236364976551,0.21591201792343456
42,0.0736262916331309,0.07298512329088615,0.22140465794951272
43,0.018405895972171626,0.026304211234014708,0.4309608490243078
44,0.24750475302476832,-0.006563008301515705,0.7019987181058481
45,0.00641703083619769,-0.03970698778538645,0.47952436714124724
46,0.030719981212652937,-0.13246455094588358,0.4371368042173251
47,-0.03639430638229082,-0.009010229570382666,0.66984789610438
48,0.013003814509925016,0.03863827299265714,0.1504871389243192
49,0.09688389674817946,-0.16993956930433088,0.6852553072806311
50,-0.08080371866983346,-0.05380405949422721,1.1799803697637774
51,0.5393141973125285,-0.010952924861865231,0.15421655030672884
52,0.07587130520620773,-0.09381631526980691,0.29410814079561176
53,-0.04253608597212971,-0.05086605357290162,0.22997997486404267
54,0.08156076875095798,-0.00850679076284917,0.8108681147740388
55,0.10988653484475468,-0.08812422576796909,0.23091661298886787
56,0.07945986440312781,0.09990553322629243,0.46303867072459565
57,0.07971604739464856,-0.03997816173562633,0.43363334306963874
58,0.022070874964509678,0.05554052539325187,0.16571706246115792
59,0.04607328246286093,-0.058994162665621755,0.7488484599367046
60,0.21016571425845604,-0.0063882748360296945,0.3452753906899182
61,0.03622993441461246,-0.2532268976704565,0.08411298782229361
62,0.43287609561939916,0.07489055163743041,0.2915832174129952
63,0.2511225471647684,0.1554310828792652,0.22711730929314494
64,0.03139497364450541,-0.004330307381060538,0.3156664318973911
65,0.04019420741715647,0.006294687562399592,0.7789535933203913
66,0.16292379540603502,-0.08898449090042794,0.4217396392570908
67,0.07139628910570839,0.10880320788645888,0.7088062655839666
68,0.09685907311823759,-0.015879073737116566,1.0786788244722876
69,0.11213980158492795,0.12407199627100547,0.25466818426539106
70,0.03979389229180612,0.07443987592691417,0.14156647626196114
71,0.10302138833290857,0.12238655763844926,0.06383777839680656
72,-0.04114624026116796,-0.12365142661746695,0.18042361094369666
73,0.003430017113271455,0.0015395103026412782,0.3998481788634952
74,0.037900670186772546,0.12596250992741279,0.9468772327271335
75,0.03721727109129654,-0.007352567930891907,0.30045308197616805
76,0.0634540008342411,0.0006791199478534016,0.5285122892962807
77,0.07351381529788766,0.018850027829653126,0.9830041164959168
78,0.10985930575783118,0.043902668299045856,0.926523997330438
79,0.05841706184779778,-0.014459083036757659,0.602800448409178
80,0.09245438568607209,-0.017918523476653247,0.6578636664688184
81,0.05942569528308443,0.12540609280702472,0.38203358063764437
82,0.009063748871418142,0.04502567959882382,0.18853515007330418
83,0.16184183748254416,-0.07377889467281244,0.3640109627888376
84,0.06805393455173886,-0.052581224135144676,0.41172824117177437
85,-0.2012635889190184,-0.19253308461916807,0.4445508173105532
86,0.11117720557746862,0.04296078084681677,0.31790878176427617
87,0.12709132896952766,0.019033106253802345,0.1924236892806982
88,0.015416517470599755,-0.1404366564668477,1.1445872290863264
89,-0.24570197341097932,-0.2060572194956626,0.21217808310391084
90,0.052192042145107,-0.10326705517408005,0.7714172451222898
91,0.12840494309576872,-0.03446067619373159,0.595949408999334
92,0.15359830061589697,-0.028436152433373375,0.46906763678445457
93,-0.019062290381554724,-0.2048191475238066,0.8978063825003544
94,-0.07127808465106462,-0.07412479282150292,0.16171127949612124
95,-0.04471512907161781,0.0682609693022391,0.3579936996912546
96,0.04375937666695595,-0.012506340304268837,0.7508931291954325
97,0.14008881924411515,0.051310463165629164,0.3673895348155042
98,0.07685528573470182,0.11203322630014453,0.25703516802165366
99,0.11001462381091105,-0.025019371929884383,1.2184093866529841
100,-0.009444308725711758,0.01817289828052806,0.1842846341709826
