Split,R2,RMSE,Pearson_r,Pearson_r2,ExplainedVariance
1,-0.27712165968046754,0.7963409143758976,0.37077762083648014,0.13747604411316064,0.13296729070144953
2,-2.1591952127523246,0.9937318156980289,-0.04350499455690862,0.0018926845513966488,-1.7908005142493555
3,-4.718909476603947,1.2779703110005922,0.10370432495439147,0.01075458701424602,-4.397997799213068
4,-0.9003967651266915,0.6412397732477902,-0.12769984989254912,0.016307251662579576,-0.7257699995026505
5,-0.9468167581249674,0.6858929694315822,-0.02867614179361616,0.0008223211081675795,-0.24125139233725412
6,-0.32550093515698086,0.6700484123329133,0.34245993673395825,0.11727880826782669,-0.12644263144240941
7,-1.515735758078677,0.8257555814654977,-0.4778789865082641,0.22836832574616567,-0.5499174006062753
8,-0.4323629761542753,0.8483803871747807,-0.4575705812119433,0.20937083679063556,-0.37416528942102945
9,-0.002467955878107775,0.5984126768821144,0.2599511132039875,0.06757458125599233,0.017743162227675247
10,-0.29021527632497124,0.6132789901588627,0.059999403487604436,0.0035999284188683593,-0.15928459255423943
11,-0.6933366769286966,0.7231341910300975,-0.14166068278128985,0.02006774904606123,-0.6700079883159413
12,-0.039169861452200916,0.6892540620540094,0.12706361720539228,0.01614516281731846,-0.004131143205575949
13,-0.901882637156382,0.5536371614656915,-0.3444477179678912,0.11864423041328792,-0.3785694944035558
14,-0.2338198128617217,0.64697936546755,0.10633905935783394,0.011307995545108931,-0.19049890080171594
15,-1.206686563428888,0.962912154627623,0.28312943333777846,0.08016227602217153,-0.9371220011167882
16,-0.444912824660157,0.7229682820921597,0.318129318023641,0.1012062629861869,0.10052822627426006
17,-0.8867786402046876,0.4663929116392006,-0.012197832383962937,0.00014878711486725495,-0.04298706186242551
18,-0.001673794427497377,0.5176547528367818,0.2614695796335623,0.0683663410737518,0.019768183249790794
19,-0.6897184271088264,0.6945740081595968,0.06437355257429261,0.004143954271035215,-0.5322040581108227
20,0.010354442333888825,0.68866323650679,0.10506128872046963,0.01103787438760588,0.01069651269121119
21,-0.41862087452468333,0.7812360371298095,-0.39407478743264984,0.15529493809008815,-0.3247391310161736
22,-0.2413688297029588,0.7071136547326456,-0.29198022300671694,0.08525245062705215,-0.2413607089127865
23,-2.701926520827338,1.392120108754113,0.06576620072532727,0.004325193157844037,-1.7974873138874568
24,-1.4688182015169793,0.8751572655458245,0.07778508766335183,0.00605051986279533,-1.282939500470858
25,-0.9371254768971804,0.9247370093809106,-0.1329087456599642,0.01766473467290505,-0.4347279315927399
26,-0.22756140781953227,0.7858767809777317,-0.21207372540937347,0.04497526500901034,-0.21453408122525364
27,-0.09245755707208803,0.5905192183107765,-0.09700594689547928,0.009410153733088547,-0.07711500940235894
28,-1.2032567679762298,0.7595845447269354,-0.2364828277570126,0.05592412782395289,-1.1538297254797185
29,-0.6786666163494726,0.6512180187145109,-0.025380934074265213,0.000644191814482197,-0.6779883827099911
30,0.04853810700792949,0.6669495289743216,0.28924389068048856,0.08366202829598642,0.08235904644249692
31,-0.5813760643872903,0.8012003020094784,-0.05670876560900124,0.0032158840968966418,-0.19288602534797383
32,-1.3256953981961832,0.6718008608788296,-0.05888709848854025,0.0034676903683990394,-1.1381382879592565
33,-0.4876013543340223,0.7288300152827172,-0.48914934624754347,0.23926708293439916,-0.41588731405501655
34,-0.4356909517897585,0.7351804457329977,0.13175490953416952,0.017359356186357193,0.016422811382803437
35,-8.157750221967177,1.367114214383583,0.1318872075484628,0.017394235514931307,-7.49627655013065
36,-2.455758963569731,0.8682934749756033,0.2338205641231648,0.05467205620687502,-1.4037410315832597
37,-0.8670419534411788,0.7801508759895291,-0.20876321539171996,0.04358208010068966,-0.8088851592662725
38,-0.957876912605,0.766562120001123,-0.559816274098589,0.31339426074562654,-0.738431863439049
39,-0.24334918438977904,0.7822917876569898,-0.09279317965856101,0.008610574191145982,-0.21859590919094352
40,-0.5823966903084059,0.9406017715256146,-0.2592519921911688,0.06721159545508984,-0.5232680129051814
41,-0.09336771407983302,0.6309782619286987,0.05393375305369985,0.002908849718457478,-0.0895570832516881
42,-0.7576208165011038,0.8060517727486504,0.22450012963325355,0.05040030820534765,-0.3213539541834627
43,-0.629477620148676,0.5661655988704047,0.1326390433299571,0.017593115815486237,-0.005459017566390001
44,-0.5657178190113112,0.9344799783378885,-0.5085545365826536,0.2586277166787975,-0.5247895046781537
45,-0.1190236594737577,0.6133023204870577,-0.291169179063357,0.08477949083642924,-0.09701088846421801
46,-0.10683041621802114,0.7609502226095993,0.23503621892609772,0.05524202420707654,0.04689597126274059
47,-1.206153471569551,0.7249534654262357,-0.10804840781354252,0.011674458431041597,-1.201458675592256
48,-0.6731235255231194,0.8020075535588274,0.05911594232762577,0.0034946946372831763,-0.3253780007277227
49,-0.44032378977521813,0.6430734228148725,-0.00669462790384133,4.481804277089096e-05,-0.2882666682949169
50,0.0636875968163183,0.6179269450102218,0.5683050696565629,0.3229706521973508,0.22546827992395657
51,-0.4081476034895253,0.6710969916936688,-0.22734241217636908,0.05168457237417009,-0.3814305033623311
52,-2.0300484719882363,1.1269105792684289,-0.2575901875429328,0.06635270471840328,-0.9140810061612452
53,-0.3352582915651867,0.8006248278203566,-0.20107592155676868,0.04043152622990379,-0.3352194389360026
54,-0.949775912634607,0.7293283461735388,-0.2606396997865629,0.06793305310482962,-0.9318054312087989
55,-0.21068298639140925,0.5998970078574082,0.07435015397106566,0.005527945395521171,-0.0642390208818937
56,-0.34260864774985,0.46039378689499155,0.026018860542867756,0.0006769811039492006,-0.16425007673925074
57,-4.027861982038098,1.1954319544329344,0.0774513622615057,0.005998713516162989,-3.690068642432178
58,-0.9598883817891752,0.8260910716414286,-0.24575052560876484,0.060393320836984184,-0.9585856549888612
59,-0.15789559029325617,0.6182432087407507,0.08498107607394821,0.007221783290686173,0.006552818775669378
60,-0.028743029743487858,0.717271183405669,0.2756799548710246,0.07599943751769016,-0.027694315292880134
61,-1.9466468758218114,0.6999833185381115,-0.038963819227185115,0.0015181792087687605,-0.6650533369005356
62,0.05575402683653796,0.7055628145271206,0.42006972524559877,0.17645857406791285,0.11133264103065421
63,-0.726860785615187,0.6506534361570805,-0.034840231380163816,0.0012138417226233516,-0.6383555804385379
64,-1.3389153823074738,0.6577310482992296,0.22549439343499955,0.05084772147061837,-1.0985039046104972
65,-0.32814568314168335,0.7735091915860259,-0.11233688747566643,0.012619576287720542,-0.10013413656916104
66,-0.04230462325053863,0.6472363391219372,-0.010766563349184896,0.00011591888635201149,-0.03609617146482558
67,-0.10252262406197454,0.8073207475888191,-0.18715224301114264,0.03502596206410179,-0.06779559181857353
68,-0.016590496310739278,0.710964351871682,0.41494701510697335,0.17218102534618676,0.1641029360079409
69,-8.162307942894094,1.3292565708604183,-0.04611006223764216,0.002126137839559234,-5.393485304236577
70,-0.42505178624818796,0.8171241900267725,0.40369793245678165,0.16297202066988023,0.16007959320106446
71,-0.5649452063673472,0.6151131336755472,-0.06100877544742275,0.0037220706815940534,-0.5544429227285594
72,-0.0034036386351550263,0.6271573250546897,0.21649641534391822,0.04687069785676635,0.04030934767364813
73,-0.22219907933796046,0.7366055239177477,-0.051387045919728,0.0026406284883562343,-0.037346244126531536
74,-0.9253835701764639,0.7293831109830289,-0.03381894020234655,0.0011437207164098917,-0.6197447565490062
75,-0.10882228309756425,0.6578133623538733,-0.13878166435353817,0.019260350360738126,-0.09942072514437439
76,-11.484007774073834,1.501973281798507,-0.31224057182011833,0.09749417469055448,-9.982468503012814
77,-0.14831555256954276,0.7913805022016722,-0.07577033981238845,0.005741144395284819,-0.14800873609817922
78,-0.15189736663619913,0.7206965490799044,-0.1764531944361135,0.031135729826708872,-0.1518017760126531
