Split,Ensemble_Average_PSA_Chloroform_ANI,Ensemble_Average_Num_IMHB_Chloroform_ANI,Ensemble_Average_RadiusOfGyration_Chloroform_ANI
1,0.003215014157172047,0.1448763960646154,0.04382004066547625
2,-0.12304611634630809,0.5683714299148865,-0.2995588019604235
3,-0.24462012993542787,1.67555734922164,0.9814326632538712
4,-0.06022555810261139,-0.05427463279940603,0.7183929335823346
5,-0.32804590812297185,0.5056043531428477,0.11105435578541582
6,0.035583894311121834,0.447593854337049,0.09864697568405194
7,-0.31219391787725354,0.055246591235751506,0.1543433025447552
8,-0.2801004184366898,-0.04587383073873095,-0.04139966933768635
9,0.09736035498910586,-0.15870920603863947,0.0924581270876474
10,0.15339427001602696,0.5548834829575751,-0.13892760609875804
11,0.020320191285476373,-0.2371972728661266,0.5787034499048274
12,0.16720461226569466,0.17300550112844731,0.004126028500966506
13,0.16774645145242464,-0.08426835755968268,-0.27376357376243715
14,-0.14828481217021205,0.027955107607590145,0.5547413296749185
15,-0.24896203629865968,0.1662838094423254,0.301360248349871
16,0.10180187882318584,-0.00302433176812964,0.029394742194419354
17,0.11129688214590913,0.0952687632915215,-0.10715130336116652
18,0.09560774468888349,-0.08843882322448202,0.2504411964117836
19,-0.19864988555373114,-0.36263706174791555,0.13767841327223448
20,0.05381899828131002,-0.00503123325089092,0.012041893801338122
21,0.1061274862155371,-0.22912407482277447,0.006704950948943389
22,-0.009265403761794345,-0.020265789042305728,0.010187615281550854
23,-0.3882275067960645,0.4515771874199032,-0.34627430220678146
24,-0.3952787074684505,1.6926040523543822,-0.22286094533083728
25,0.42995935389473533,0.07913477099444832,0.001362579517045348
26,0.06998963678655237,-0.011765177784851977,0.011424654752792706
27,-0.08738016028626688,0.021989552961320546,-0.0030005766772769338
28,-0.12151568350257258,-0.1437631205676513,-0.3923443048010632
29,0.2545524275995771,0.7950967860054257,0.11876414392406151
30,-0.00021251985359096447,0.18415475107959428,0.20314841807002165
31,-0.044157831489189656,-0.11778591646486536,0.042779184369819714
32,-0.114444831392489,-0.03383283517884021,2.0620544675243355
33,-0.013959346913170467,0.009018964911375571,-0.23252241561602985
34,-0.030962551586372223,-0.022233173559972896,0.1384217029039894
35,-0.8615006105553974,0.6821862628190616,1.5366954688982335
36,-0.32340800307820655,0.37969425397856915,-0.6791205233353512
37,0.7533677941932438,0.10119987286819714,0.03138707487224397
38,-0.000827489508781265,-0.3512162646327594,0.08167140986210439
39,0.026756558490282623,0.02740997512849681,-0.01112607412626152
40,-0.0655877826247161,-0.14660452344577796,-0.1592104984714981
41,-0.048852251390867116,-0.052656677354835424,0.24202023991809368
42,1.192154044948975,-0.08231966348840217,0.19335653305279038
43,0.011416119207307451,-0.04171283572969946,0.05597627362752648
44,-0.19293588888750474,0.23408434179992293,-0.11424845285272704
45,0.013148276671538173,-0.043450318613276154,-0.002962625278915576
46,0.4230660017971751,-0.09025272702526996,-0.045591383840595745
47,1.6840711890618003,1.0615395081665526,-0.13811909569706143
48,-0.2317278133920552,-0.0036298063216249287,-0.0033032116812220735
49,-0.11830938633802553,0.5042482996447125,0.03268133200947485
50,0.41583305953575406,0.05840899386865471,0.17290517881275994
51,-0.011940248581140022,-0.2050616488060589,-0.0002019094445150804
52,-0.2489652366150922,0.18767418637430716,-0.36999389441289277
53,0.251096471495719,-0.013575965475041297,-0.002072336947373121
54,-0.06807356840492655,0.055259325263455894,-0.1718658107928884
55,0.07832923266766638,0.002693956237898543,-0.07401758917160692
56,-0.01419893291893306,-0.04787708980344367,-0.01135349373051343
57,-0.9501791468979436,0.47524593794409925,0.1085524974453536
58,-0.39526957369316285,-0.07652606311106384,-0.3297632486535127
59,0.0266838048325847,0.025392378032628303,-0.012071093027414558
60,0.10645019910979095,0.5895590102446999,0.16609697353916086
61,0.6592526090067281,-0.01623005044094574,-0.06169275628850919
62,0.005013131661458237,0.14150789128249391,0.07366744732820812
63,0.06295817947413526,-0.17893444164562805,0.140110633392933
64,0.8726807516240666,1.1224218793635625,-0.0187989361559902
65,-0.09968869597446883,-0.08129605387097058,0.07673358440389685
66,-0.03146811277883017,-0.0025006820576470635,-0.022539641771990738
67,-0.020979311591089123,0.033269243693676745,-0.007970309510077466
68,0.03160274446893432,0.4202916602617428,-0.02869821234071428
69,-1.2287009649217615,-1.4344153488743032,-2.018786433751696
70,0.3907780285268713,0.013216000510041126,0.10142595648911543
71,-0.10156516245025202,-0.05881038704362622,0.14392997251046621
72,0.12140943938741552,-0.010324983680339395,-0.009866876244971179
73,-0.01986614123123611,-0.00774781552191024,0.03463070431254382
74,1.4735559223284356,0.1514074181909284,0.7289316239906718
75,-0.11673995431195675,0.005237845237620409,0.10350871463292252
76,-0.2828432376282242,-1.7846692439778096,-3.3624945791517526
77,-0.06968090894046869,0.193220568625377,-0.07057002237621395
78,-0.029104670866986405,0.22402226048843343,-0.10549697852147503
79,0.03533434475044457,-0.009785455256266395,-0.016545336539517508
80,1.315791434209392,-0.1144023951397172,0.7190119445089015
81,0.00040769403716631734,0.009102259515013067,0.03162374963690897
82,0.09332650824172066,-0.01929713635838195,0.013093439632056359
83,-0.09256460605930478,0.3059346746278858,0.011374839631260047
84,0.01989716376450401,-0.0498084131395921,0.06050003968091209
85,3.43480090074566e-05,0.012189205604923514,-0.21491565126330534
86,0.9862886959893867,-0.392172271850581,-0.11001951673542676
87,-0.5437063293419916,-0.6546045893020052,-0.19443368332214953
88,-0.03572480596309997,-0.15826566163194614,0.47852741782089475
89,0.15105435777924464,0.06966028111011731,0.8249678484093252
