Molecule_Name,Asphericity,CalcMolDescriptors3D,Eccentricity,InertialShapeFactor,NPR1,NPR2,PBF,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,_isCallable,_setupDescriptors
,0.7881573228083918,"{'PMI1': 8366.602157762689, 'PMI2': 105944.96573733959, 'PMI3': 108806.37823450465, 'NPR1': 0.0768944090734331, 'NPR2': 0.9737017944757062, 'RadiusOfGyration': 11.152090226759029, 'InertialShapeFactor': 0.00011637959784812854, 'Eccentricity': 0.9970392418823082, 'Asphericity': 0.7881573228083918, 'SpherocityIndex': 0.09453677848137759, 'PBF': 1.5943966397906728}",0.9970392418823082,0.00011637959784812854,0.0768944090734331,0.9737017944757062,1.5943966397906728,8366.602157762689,105944.96573733959,108806.37823450465,11.152090226759029,0.09453677848137759,False,-1
,0.7089005512713488,{},0.9938292925183658,9.666730169076216e-05,0.11092040990027205,0.994499189445197,2.145341643821177,10287.855066303506,92239.68369542967,92749.88323206939,10.433140098543944,0.1838778161965332,False,-1
,0.7051222322263158,{},0.9937718305653759,9.984209897241463e-05,0.11143405572239544,0.9691464637490793,1.8177104880442732,9706.791761427661,84420.35829129105,87107.94647561984,10.05102086293011,0.1413192419648508,False,-1
,0.7524669338359872,{},0.9957998702845049,0.00011140406015977349,0.0915566400724881,0.9773970009518343,1.7168299061741215,8773.441466586326,93659.34978259087,95825.28869167909,10.512462767942713,0.12118884865473888,False,-1
,0.7435532531711208,{},0.9954673510347017,0.00011504630449157027,0.09510390646000916,0.9720220671642551,1.6488316393956592,8448.963845122706,86353.75357147485,88839.29335411121,10.117542617535134,0.12122224406441512,False,-1
,0.7319368454451324,{},0.9949359923768589,0.00011122125335705705,0.10051055204840471,0.9854617070290622,1.8449260895794868,8860.37225156422,86872.04861569554,88153.6522383955,10.124263550217846,0.14847980165460894,False,-1
,0.7801918612498503,{},0.9967549850314801,0.00012007063820860504,0.08049534033032102,0.9874063951441057,1.7295451357090814,8223.545821657353,100875.17739218033,102161.76225743224,10.851709506538946,0.118337583644679,False,-1
,0.776134971740109,{},0.9966007241563769,0.00011104893368923133,0.08238323015629612,0.99399902134583,1.842864519241127,8951.000143121773,107998.74398527034,108650.7548458598,11.213961239857287,0.12931484539529584,False,-1
,0.8347304717171234,{},0.9982654451289695,0.00014702536145249728,0.05887360241619613,0.9837351202845379,1.5016902506118084,6690.921284368852,111800.43320539585,113648.91920607493,11.375336923781806,0.08053492494266373,False,-1
,0.8639571167572447,{},0.9988521509491831,0.00015876745941515135,0.047899692527097165,0.9887613749729681,1.4863229479363869,6227.733180434136,128554.93840523835,130016.14106209694,12.149182039186956,0.07149022610954185,False,-1
,0.8728905308232342,{},0.9990067337625289,0.0001815968663236289,0.04455946473111826,0.9879411012739707,1.4671866081517235,5440.298179558523,120618.46360148012,122090.74351288765,11.761040069254943,0.0688399594799657,False,-1
,0.8815817011771474,{},0.999145305525564,0.00018218454894741227,0.041335921983516107,0.9868938154772394,1.3491412196336985,5417.000624801103,129330.71668715711,131048.25935565896,12.172035886734161,0.055786579273536724,False,-1
,0.8896262451279041,{},0.9992639860390247,0.00020470728088909116,0.038359955753363366,0.9842678909315756,1.2172865135554345,4808.1723652264445,123371.61449259425,125343.53261877442,11.887703897898195,0.04766630503181037,False,-1
,0.8856736786913265,{},0.9992061503487556,0.00018852855165319148,0.039838035910669034,0.9871365369124927,1.2906367533886438,5236.005518826581,129741.64606656606,131432.32087464244,12.18608664071768,0.05264269939107628,False,-1
,0.8710746568772179,{},0.9989776784466957,0.00017584957111191568,0.04520617176061482,0.9862243326994847,1.2981600681744816,5608.340847597652,122352.36903630331,124061.39757412135,11.852455738548235,0.06109176730165719,False,-1
