Metric,Mean,StdDev
R2,0.06561381208089567,0.36400881797371454
RMSE,0.5528104407832521,0.08784171960529355
Pearson_r,0.6078525378019323,0.16651825735295764
Pearson_r2,0.3969357544437966,0.18372377796274234
ExplainedVariance,0.18817919764443658,0.28795511389890077
