Split,R2,RMSE,Pearson_r,Pearson_r2,ExplainedVariance
1,-0.42792822560568355,0.48433640531952876,0.5217132303184107,0.27218469468927103,-0.3150530087620218
2,0.22073014375448607,0.5756485107520123,0.6522809027547807,0.4254703760985917,0.4071387400385752
3,0.25295496993872824,0.5937391668221061,0.6149122470690639,0.3781170715955255,0.3776128499417337
4,0.26850317566667836,0.5691071939757287,0.6141851848127452,0.37722344124346596,0.2738137029916692
5,-0.9688546518117578,0.4823542763350078,0.40040425895866677,0.1603235705922391,0.16021507224336073
6,0.01898975741145048,0.4732184729842664,0.2359472633807057,0.05567111109684411,0.03968854415578005
7,0.43606442797260636,0.46840890264911833,0.8905128111909288,0.7930130668951709,0.45826194611691584
8,0.34350663109588064,0.4897353661791792,0.6767790531400449,0.45802988676913575,0.3764482038803223
9,0.44398866637544543,0.5548907246208261,0.7208158510419751,0.5195754911133669,0.47331284869426016
10,0.04092804558800822,0.40906010998429526,0.7232933403010342,0.5231532561238277,0.4772224524499986
11,-0.09392669249483676,0.59796383702126,0.836409305877329,0.6995805269581953,-0.03326103893040555
12,-0.32081244748104965,0.6542369371584287,0.5912204290083648,0.3495415956768349,-0.2719650637341904
13,0.2968009023955329,0.46545615014910185,0.6218721647345551,0.3867249892716416,0.2992067624799519
14,-0.49064682241170154,0.6074292552694389,0.7818992126802393,0.6113663787899781,-0.2607239439196216
15,-0.5461466498633065,0.7213707096611479,0.16831784773071817,0.028330897864701228,-0.056985068294090446
16,-0.11272545980763882,0.4997432102218389,0.8006380165188431,0.6410212334952273,0.285447034402326
17,0.061179627058540964,0.42903489953611745,0.5413244898176288,0.2930322032763161,0.2753760727442012
18,0.26064504670908506,0.5558283115425585,0.7643202782024427,0.5841854876714595,0.38991022089881366
19,0.5396460556594691,0.49953524194991217,0.8109755089212656,0.6576812760701057,0.5765246366287287
20,-0.7363836511488355,0.6663560736409493,0.4468830010339871,0.1997044166131425,-0.5562727664000253
21,-0.4574977481436049,0.4336852020148397,0.3604206420409902,0.12990303920923962,0.12894726663527623
22,0.14077462302945398,0.5970316926868291,0.518863496421715,0.2692193279189671,0.16960628315769055
23,0.4112954775100732,0.5583648463033495,0.7095010384406211,0.5033917235483196,0.41241888971569385
24,0.36750863534102074,0.5051647285506414,0.6247351014365619,0.39029394696695124,0.3899326953092729
25,0.2336343249669358,0.5469669653135567,0.6713929037040618,0.4507684311441716,0.3041210491529637
26,0.3352879283107574,0.34521592604435036,0.6362397451675916,0.40480101333092194,0.33743914875263226
27,-0.12029574273989652,0.5501563346498678,0.5072491734777848,0.2573017239938958,-0.02027759072300639
28,0.4857425296693608,0.5057453571467857,0.7094987373067496,0.5033884582398721,0.4946280688033404
29,0.01935882080372542,0.6245283298294729,0.5346939000942823,0.28589756679803435,0.2089204970210271
30,0.36496792963323754,0.5881435157761645,0.616938693936685,0.3806133520763027,0.37926231297821844
31,-0.1978880900190132,0.6686642574416127,0.4345453156254829,0.18882963133205052,0.08940380725188701
32,0.14693129280393846,0.6112709419380747,0.5548650838166123,0.30787526123881614,0.2342970996702941
33,0.45998747714894117,0.5652635748605538,0.7084509168022713,0.5019027015179788,0.461959916525272
34,0.19604486523342346,0.5606044781319243,0.5845634871330337,0.3417144704891325,0.2404622981358675
35,0.3407724894519024,0.5273452947771288,0.6147551861543725,0.3779239389036972,0.37267813632024405
36,-0.6108796797355727,0.848490041624216,0.8492713808810757,0.7212618783836491,-0.5194615541236287
37,0.3289272305137124,0.5556977888444938,0.6897636384975894,0.47577387699343315,0.338961057093062
38,0.04228888188007118,0.5668525769351654,0.8656352451307046,0.7493243776124949,0.5469476779585036
39,-0.31289955607829234,0.5796310897960318,0.8515396983214836,0.7251198578174433,-0.21386406230577837
40,0.4179126322599763,0.5239069873820484,0.6826357545470505,0.465991573386021,0.46588024644333303
41,0.16484570192623427,0.5773212311813416,0.6810067431076823,0.46377018415813276,0.17191767297996619
42,0.39719780322074705,0.6124198845992349,0.7172611762932899,0.5144635950176338,0.4272005077640616
43,0.377872035464876,0.3145602651794038,0.6205558404311505,0.3850895510932116,0.3827650196137268
44,0.06980072316949104,0.674794856814558,0.49528532687488247,0.2453075550175592,0.22322245244122385
45,0.36936279177084763,0.4629080943992365,0.6933988572334164,0.4808019752126078,0.38623728940201907
46,-0.24482136629990547,0.5700991150734634,0.39932462048229195,0.1594601525233265,-0.15545888679665198
47,0.2078061210897344,0.5742232371046272,0.7188155789143157,0.5166958364899228,0.21073497581444411
48,0.379766992510171,0.4391300378925034,0.6803627055747903,0.4628934111370488,0.38302756140460614
49,-0.10897560292175257,0.7048201724018678,0.47513977500778115,0.2257578057944449,0.05130403708490561
50,-0.021063575066656348,0.41893140515723626,0.6084016178588767,0.3701525286132986,-0.01964664055218357
51,-0.7189487755655886,0.6129161543449931,0.8567274299582839,0.7339818892429262,-0.31514768843405006
52,0.3256486152286956,0.5697169497502206,0.6129084644798322,0.3756567858310257,0.3748558708246159
53,0.15977792633765564,0.5405454029840828,0.8014283011928414,0.6422873219528437,0.21762815333751095
54,0.17490532057088592,0.3797508975031689,0.6632396916888987,0.4398868886315854,0.2313444679349741
55,0.23956177078863028,0.4329092629540159,0.5220376800320491,0.2725233393732441,0.243822014183246
56,0.06890457339596356,0.5523529414148913,0.32958125800804317,0.10862380563016431,0.08672230632720102
57,0.2937983017199949,0.5598177830554204,0.6532544265359163,0.4267413457887688,0.4252719107162378
58,0.31202737424172233,0.5817211167497174,0.6753574935067089,0.4561077440356644,0.4494499098761078
59,-0.12367404777244895,0.4949501327699101,0.5324613730473374,0.2835151137874558,-0.12307534053111113
60,0.34486419466511875,0.5617450334481803,0.6533751162213568,0.4268990424972715,0.40966169157099797
61,0.05237380929843771,0.5216814304959269,0.44575392827816074,0.19869656457541165,0.0533853848924275
62,0.2908750816558663,0.5397240133686294,0.7660351513247977,0.5868098530652057,0.3317196012569432
63,-0.28134993176800815,0.758001489077001,0.6962951124202958,0.48482688358039244,0.46969364628386
64,0.3000463285308166,0.5038820166503261,0.6566791729999191,0.4312275362518576,0.349348557885776
65,0.2666518712278715,0.5501762960285544,0.5812479514209611,0.3378491810310639,0.30312510020628614
66,-0.18523693356519177,0.5958059956801117,0.40008557457469995,0.1600684669827678,-0.17683785424278975
67,0.1144265096436774,0.6206066809879364,0.5481983594644063,0.30052144131946645,0.14691351361718663
68,-0.5919798562177223,0.581055388760137,0.5045550012178969,0.2545757492539919,-0.3017319960730631
69,0.17670222990095652,0.568967871055865,0.5637120824210365,0.3177713118674615,0.2765909446322192
70,0.47844162442256555,0.5630821330377407,0.7175521461458606,0.5148810824385305,0.5143137021045272
71,-0.23831730180420418,0.6433552523827065,0.6755922851986942,0.45642493581999377,-0.22765457692462454
72,-0.05810110938084989,0.4880616810168661,0.224875592390392,0.05056903205292973,0.04432733839075609
73,0.2669349635435906,0.45375166936203004,0.8265418173787535,0.6831713758757728,0.5581180105061934
74,0.003246679868354363,0.5733682354568246,0.34500359657658175,0.11902748165077677,0.011726174486931695
75,0.17756885137492795,0.5702233944674234,0.7243844344011183,0.5247328088026281,0.21551933804648438
76,0.4837013147760213,0.5073236417109422,0.7484157766635307,0.5601261747588758,0.49814147169039813
77,-0.001006413486819735,0.5521331553697045,0.38048159750224375,0.14476624603785943,0.12806713032883743
78,0.16329407654239814,0.5726950865110914,0.5745474077160638,0.3301047237132489,0.1734335648679829
79,0.2898066857089071,0.5775658904052129,0.5852845266691309,0.3425579771583086,0.29284967308869414
80,-0.29546860183064694,0.729911229087724,0.2110296109403486,0.044533496693634905,-0.02329132890620178
81,-0.07216718767017571,0.6957570991719192,0.5271719900396694,0.2779103070823853,0.16378102736380895
82,0.10734916484538182,0.5278700789558796,0.5997342850904084,0.3596812127129032,0.1415713297994805
83,0.10138593438581955,0.3575711746384225,0.5995830101436914,0.35949978605296995,0.35889472208500006
84,0.5549966397992501,0.47466178606544845,0.7608530356231336,0.5788973418169373,0.5636393400991242
85,-0.1412423638200515,0.5904819653157778,0.10833307442817616,0.011736055015060755,-0.14033281163868927
86,0.22638866667104307,0.6049804020480994,0.6658168452426179,0.44331207140883216,0.23174626866953618
87,0.3457324937596965,0.5406867733926854,0.6282510458197152,0.39469937657356596,0.35812296256230525
88,-1.0414924880960235,0.5554710232441874,0.3791573981033194,0.14376033253647902,-0.870606849557771
89,0.0933207404863945,0.58612053999671,0.5346204775871876,0.2858190550555525,0.14041323424489494
90,-0.6690500376250181,0.5853473885953926,0.873733783025528,0.7634107236001003,-0.09804294274127834
91,0.4115104907436975,0.516142888921737,0.6514156126701452,0.4243423004304207,0.42434223136517213
92,0.2268256480251205,0.5894894800218791,0.6817793288798559,0.46482305328786677,0.36256033312439473
93,-0.07029167577214346,0.4875480301684971,0.44413667670802537,0.19725738759724903,-0.05952420494852806
94,-0.025266475243511,0.5623120115815518,0.6983570212335082,0.4877025291061386,-0.024701455259461547
95,0.4764962895994841,0.44688169542624745,0.7182535734067872,0.515888195711619,0.5094658556345752
96,0.37219363939994954,0.5364167539216638,0.6326653519014191,0.4002654474965465,0.3947923115405838
97,0.41462238885703395,0.5328114420896717,0.7777047704938078,0.6048247100488263,0.48914645131872425
98,0.43699437353354653,0.5587674798504104,0.7881974263199354,0.62125518285737,0.5941700022366327
99,-1.180282446396408,0.7946012778638095,0.7963487628733016,0.6341713521298379,-0.6643518937468977
100,-0.16639651515013543,0.5699345755444601,0.21268217201790435,0.04523370629425345,0.04505772979292899
