Metric,Mean,StdDev
R2,-0.12285932564847642,0.4629861850143709
RMSE,0.6059239876712221,0.09898787541643185
Pearson_r,0.4895700020031131,0.21795263034071186
Pearson_r2,0.28670710244303893,0.19545764612080582
ExplainedVariance,0.035979458715104023,0.3325697280144978
